ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
4134,22258,12182,22,-60,-7,23754,4832,5080,-29,18,2,0,0,0,0,0,0,0,0,0,0,0,0
4082,22266,12222,-4,-58,-10,23786,4828,5054,-35,24,0,0,0,0,0,0,0,0,0,0,0,0,0
4050,22098,12190,-14,-60,-8,23708,4856,5138,-24,27,6,0,0,0,0,0,0,0,0,0,0,0,0
4132,21996,12148,1,-61,-5,23716,4930,5146,-11,21,8,0,0,0,0,0,0,0,0,0,0,0,0
4120,22016,12202,24,-59,-10,23728,4892,5070,-21,16,5,0,0,0,0,0,0,0,0,0,0,0,0
4172,22028,12204,25,-57,-12,23832,4850,5094,-33,15,2,0,0,0,0,0,0,0,0,0,0,0,0
4168,22192,12174,40,-56,-5,23836,4864,5078,-26,19,2,0,0,0,0,0,0,0,0,0,0,0,0
4106,22374,12170,44,-53,-5,23732,4922,5122,-27,26,1,0,0,0,0,0,0,0,0,0,0,0,0
4102,22382,12206,13,-60,-10,23696,4900,5096,-43,27,-1,0,0,0,0,0,0,0,0,0,0,0,0
4128,22190,12278,-26,-66,-7,23786,4778,5098,-49,23,-1,0,0,0,0,0,0,0,0,0,0,0,0
4224,21952,12084,-41,-61,-10,23748,4812,5142,-39,16,3,0,0,0,0,0,0,0,0,0,0,0,0
4234,21734,12120,-3,-53,-10,23788,4796,5068,-17,17,7,0,0,0,0,0,0,0,0,0,0,0,0
4108,22050,12180,69,-54,-10,23778,4878,5100,-18,24,3,0,0,0,0,0,0,0,0,0,0,0,0
4134,22348,12184,53,-58,-11,23712,4854,5038,-26,29,3,0,0,0,0,0,0,0,0,0,0,0,0
4118,22344,12186,16,-58,-11,23658,4836,5084,-32,26,3,0,0,0,0,0,0,0,0,0,0,0,0
4208,22204,12192,-1,-53,-10,23654,4840,5150,-35,22,3,0,0,0,0,0,0,0,0,0,0,0,0
4146,22090,12218,2,-53,-10,23700,4832,5122,-31,18,5,0,0,0,0,0,0,0,0,0,0,0,0
4122,22074,12114,9,-53,-8,23772,4812,5066,-34,15,7,0,0,0,0,0,0,0,0,0,0,0,0
4084,22060,12238,22,-54,-6,23794,4814,5066,-34,22,3,0,0,0,0,0,0,0,0,0,0,0,0
4094,22168,12186,12,-62,-10,23744,4846,5146,-31,29,1,0,0,0,0,0,0,0,0,0,0,0,0
4134,22060,12170,10,-57,-9,23676,4828,5096,-26,27,3,0,0,0,0,0,0,0,0,0,0,0,0
4144,22052,12130,18,-61,-7,23748,4842,5082,-20,16,5,0,0,0,0,0,0,0,0,0,0,0,0
4108,22078,12110,15,-58,-9,23836,4888,5148,-5,12,8,0,0,0,0,0,0,0,0,0,0,0,0
4186,21990,12146,13,-56,-7,23792,4962,5148,-7,18,7,0,0,0,0,0,0,0,0,0,0,0,0
4122,21970,12164,28,-56,-7,23792,4968,5116,-26,27,3,0,0,0,0,0,0,0,0,0,0,0,0
4070,22134,12200,49,-59,-10,23704,4864,4990,-49,35,1,0,0,0,0,0,0,0,0,0,0,0,0
4160,22314,12196,58,-63,-7,23676,4746,5102,-57,31,0,0,0,0,0,0,0,0,0,0,0,0,0
4166,22412,12080,23,-59,-7,23732,4706,5206,-44,17,3,0,0,0,0,0,0,0,0,0,0,0,0
4108,22256,12150,-18,-54,-10,23776,4754,5190,-19,16,6,0,0,0,0,0,0,0,0,0,0,0,0
4132,21924,12282,-21,-58,-8,23856,4742,5062,-7,28,3,0,0,0,0,0,0,0,0,0,0,0,0
4118,21848,12208,5,-59,-10,23732,4864,5056,-8,34,5,0,0,0,0,0,0,0,0,0,0,0,0
4138,21978,12244,35,-60,-7,23680,4838,5092,-12,28,5,0,0,0,0,0,0,0,0,0,0,0,0
4100,22238,12258,38,-63,-7,23734,4862,5126,-16,15,3,0,0,0,0,0,0,0,0,0,0,0,0
4188,22182,12122,9,-62,-9,23804,4898,5130,-20,20,3,0,0,0,0,0,0,0,0,0,0,0,0
4182,22002,12130,-3,-57,-6,23676,4880,5098,-22,30,7,0,0,0,0,0,0,0,0,0,0,0,0
4152,21860,12164,24,-52,-4,23676,4888,5096,-26,28,7,0,0,0,0,0,0,0,0,0,0,0,0
4122,22004,12190,55,-54,-6,23772,4854,5044,-50,15,9,0,0,0,0,0,0,0,0,0,0,0,0
4116,22302,12220,64,-61,-4,23856,4740,5086,-44,19,5,0,0,0,0,0,0,0,0,0,0,0,0
4100,22506,12182,32,-55,-6,23850,4710,5124,-30,30,2,0,0,0,0,0,0,0,0,0,0,0,0
4054,22384,12190,-8,-59,-6,23764,4818,5136,-23,30,1,0,0,0,0,0,0,0,0,0,0,0,0
