ax,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
5222,32767,156,9,-54,-9,24224,19410,-3054,-43,23,5
5204,32767,154,-6,-57,-10,24196,19362,-3024,-35,20,5
5232,32767,150,-28,-61,-11,24284,19420,-3076,-14,19,2
5218,32767,300,-39,-62,-13,24200,19438,-3246,6,18,4
5222,32767,382,-19,-64,-9,24254,19596,-3202,17,19,6
5292,32767,310,9,-63,-9,24248,19702,-3240,8,18,10
5262,32767,260,42,-57,-3,24218,19744,-3278,-16,24,8
5272,32767,142,63,-56,-2,24196,19680,-3140,-40,30,6
5324,32767,74,46,-54,-6,24162,19580,-3160,-64,32,6
5278,32767,86,32,-55,-6,24154,19464,-3192,-76,33,4
5222,32767,96,8,-58,-7,24182,19408,-3160,-52,29,8
5282,32767,70,-7,-56,-12,24182,19468,-3210,-29,21,7
5252,32767,138,-10,-57,-11,24118,19426,-3064,-25,23,5
5204,32767,112,-21,-53,-14,24158,19374,-2982,-21,20,5
5170,32767,294,-17,-53,-13,24218,19436,-3138,-5,10,6
5184,32767,352,-19,-66,-9,24308,19554,-3144,15,13,7
5216,32767,306,-14,-67,-9,24274,19668,-3212,20,25,7
5198,32767,272,18,-62,-5,24190,19736,-3212,-11,34,5
5288,32767,260,50,-59,-1,24130,19598,-3190,-46,32,3
5350,32767,160,69,-55,-2,24148,19580,-3148,-53,24,6
5266,32767,162,58,-54,-1,24168,19498,-3054,-50,24,6
5236,32767,72,31,-57,-5,24130,19488,-2990,-34,27,7
5212,32767,156,4,-58,-9,24198,19492,-3122,-32,23,5
5254,32767,218,-6,-59,-8,24308,19396,-3178,-36,28,0
5194,32767,202,-2,-57,-10,24148,19284,-3202,-21,33,1
5206,32767,290,0,-59,-10,24080,19416,-3214,3,31,5
5280,32767,274,-5,-63,-10,24218,19616,-2962,16,8,4
5262,32767,318,-8,-65,-7,24332,19682,-3076,8,2,2
5260,32767,278,7,-59,-4,24430,19626,-3284,-9,14,-1
5204,32767,288,42,-62,-3,24320,19592,-3438,-32,46,2
5252,32767,208,81,-68,2,24102,19542,-3222,-27,59,10
5408,32767,92,94,-64,-1,23990,19638,-3208,-11,39,13
5474,32767,0,75,-53,-2,24066,19662,-3100,-32,13,9
5296,32767,60,36,-42,-3,24218,19580,-3052,-64,11,3
5172,32767,136,-14,-49,-12,24286,19380,-3184,-80,29,0
5266,32767,158,-46,-54,-19,24126,19244,-3080,-57,38,2
5234,32767,288,-41,-48,-17,24068,19304,-3070,-9,23,3
5174,32767,394,-38,-51,-14,24144,19452,-3198,18,4,8
5196,32767,392,-23,-55,-12,24196,19578,-3266,26,6,6
5246,32767,284,14,-56,-13,24174,19610,-3342,19,23,12
5292,32767,228,44,-53,-7,24168,19742,-3372,5,26,15
5248,32767,180,73,-49,-1,24084,19856,-3244,-10,28,13
5248,32767,156,68,-44,0,24084,19778,-3014,-69,35,5
5218,32767,8,44,-45,2,24120,19448,-3080,-106,29,3
5172,32767,-58,17,-51,-8,24272,19270,-3182,-95,22,3
5144,32767,14,4,-65,-5,24254,19142,-3194,-50,23,5
5182,32767,110,-29,-63,-15,24178,19336,-3048,-3,26,10
5256,32767,266,-40,-61,-15,24082,19522,-3046,9,18,11
5274,32767,306,-34,-61,-8,24166,19598,-3126,5,10,5
5314,32767,334,-39,-57,-16,24248,19566,-3296,-8,7,-4
5246,32767,346,-8,-64,-7,24230,19510,-3292,-13,25,7
5252,32767,286,41,-59,-7,24076,19606,-3192,-9,31,12
5298,32767,164,64,-58,-7,24080,19756,-3216,-14,19,13
5338,32767,88,67,-54,0,24214,19778,-3270,-32,11,7
5188,32767,94,62,-51,-5,24322,19730,-3082,-69,21,0
5202,32767,16,34,-56,-5,24146,19456,-3098,-99,45,-1
5208,32767,36,15,-61,-6,24090,19334,-3162,-91,48,1
5334,32767,92,4,-64,-11,24026,19290,-3228,-58,27,4
5242,32767,164,-25,-60,-13,24184,19524,-3136,-19,7,0
5222,32767,298,-35,-53,-16,24286,19664,-3034,-23,7,-2
5090,32767,304,-35,-56,-9,24234,19512,-2956,-49,24,0
5154,32767,224,-32,-69,-13,24186,19274,-3118,-54,30,-4
5238,32767,302,-20,-79,-12,24172,19264,-3324,-18,32,-1
5272,32767,338,1,-79,-9,24108,19436,-3308,36,29,5
5346,32767,326,25,-70,-12,24170,19652,-3182,45,24,12
5312,32767,188,26,-67,-7,24074,19708,-3122,-3,30,11
5300,32767,46,30,-61,-6,24040,19754,-3070,-55,32,9
5278,32767,52,28,-63,-4,24182,19604,-3142,-79,17,-10
5200,32767,230,17,-65,3,24262,19428,-3084,-57,25,-15
5102,32767,460,5,-59,-6,24168,19328,-3058,-54,46,-12
5062,32767,412,-9,-73,-5,23996,19230,-2956,-58,60,-6
5270,32767,294,11,-90,-2,23958,19198,-3004,-21,37,2
5300,32767,204,47,-82,-3,24106,19314,-3144,34,19,6
5206,32767,268,55,-77,-4,24170,19468,-3258,87,36,8
5192,32767,364,52,-73,-1,24132,19664,-3246,111,50,12
5250,32767,222,54,-74,5,24126,19948,-3204,58,59,12
5236,32767,54,59,-67,10,24220,20062,-3200,-1,67,-5
5140,32767,170,57,-62,17,24326,20046,-3362,-58,85,-28
5040,32767,304,42,-71,12,24260,19868,-3408,-113,122,-38
5096,32767,396,48,-87,14,24072,19548,-3210,-129,141,-34
5192,32767,276,71,-107,17,23868,19306,-3144,-93,128,-31
5270,32767,236,89,-115,18,23844,19270,-3112,-34,104,-25
5242,32767,262,102,-130,4,23990,19328,-3318,8,86,-17
5240,32767,230,108,-151,9,24068,19388,-3230,23,75,-23
5312,32767,126,89,-156,9,23966,19432,-3216,22,86,-10
5274,32767,140,84,-152,-3,23766,19464,-2970,12,83,-5
5374,32767,104,99,-153,-1,23762,19306,-3014,-16,83,-27
5438,32767,16,133,-155,5,23810,19310,-2972,21,44,-32
5152,32767,562,179,-166,15,24060,19190,-3024,73,-4,-15
4948,32767,574,228,-170,2,24192,19196,-3194,102,16,-21
4978,32767,974,99,-222,0,24090,19414,-3260,128,58,-35
5338,32767,254,122,-279,40,23646,19622,-3310,135,64,-11
5608,32767,112,208,-261,41,23532,19662,-3460,140,26,-8
5510,32767,152,195,-250,40,23738,19772,-3596,166,-14,-24
5330,32767,-10,235,-269,66,24018,19872,-3676,177,-16,-31
5398,32767,-98,318,-270,106,24060,19904,-3704,162,17,-19
5360,32767,-126,353,-275,107,23890,19870,-3806,117,56,-12
5248,32767,-84,310,-310,117,23678,19758,-3902,77,76,-4
5436,32767,-476,284,-355,143,23476,19718,-3674,92,63,2
5534,32767,-720,298,-358,164,23646,19704,-3660,160,13,-4
5456,32767,-418,321,-409,211,23820,19716,-3700,176,1,-12
5428,32767,-456,342,-446,285,23966,19614,-3712,162,16,-8
5448,32767,-274,305,-476,306,23972,19490,-3830,161,35,-5
5448,32767,-240,262,-529,312,23850,19596,-3774,212,44,2
5624,32767,-250,226,-596,326,23672,19870,-3718,275,24,9
5854,32767,-174,212,-649,341,23710,19986,-3868,258,0,-5
6110,32767,-262,191,-688,349,23748,20112,-3998,232,-12,-16
6254,32767,-394,164,-722,346,23870,20088,-4062,216,-22,-16
6252,32767,-192,159,-764,344,23968,20140,-4252,178,-3,-22
6278,32767,-256,150,-820,381,23870,20066,-4088,180,11,-33
6554,32767,-462,138,-881,395,23728,20006,-4154,192,2,-36
6844,32767,-602,120,-911,392,23612,19982,-4182,191,-12,-34
6946,32767,-546,159,-932,407,23536,19958,-4298,176,-20,-25
7026,32767,-634,194,-963,413,23614,19968,-4502,201,-41,-15
7178,32767,-864,197,-996,408,23674,19992,-4624,243,-63,-13
7358,32767,-946,211,-1013,408,23818,20148,-4628,284,-76,-11
7632,32767,-1110,198,-1018,410,23844,20218,-4600,278,-89,-11
7674,32767,-1224,182,-1020,405,23908,20240,-4592,254,-87,-18
7832,32767,-1364,189,-1039,409,23944,20268,-4720,265,-68,-21
8100,32767,-1462,217,-1059,387,23944,20358,-4858,313,-46,-16
8446,32767,-1536,249,-1045,365,24010,20460,-5002,342,-39,-15
8648,32767,-1692,295,-1027,352,23912,20608,-5092,335,-46,-14
8652,32767,-1682,319,-1001,330,23872,20552,-4990,315,-54,-15
8780,32767,-1818,355,-1006,348,23806,20370,-4800,292,-62,-17
8988,32767,-2336,414,-1014,352,23756,19942,-5216,274,-65,-12
9256,32767,-2200,452,-974,316,23826,20020,-5550,326,-60,-12
9334,32767,-2128,424,-975,280,23816,20442,-5820,414,-61,-7
9376,32767,-1990,287,-993,234,23816,20884,-5680,457,-66,13
9422,32767,-2196,164,-984,189,23820,21092,-5664,421,-78,24
9392,32767,-2782,198,-909,162,23858,20952,-5624,337,-80,9
9390,32767,-2844,271,-895,164,23956,20814,-5790,262,-69,-16
9382,32767,-2706,340,-909,144,23906,20654,-6044,248,-50,-26
9450,32767,-2820,420,-931,143,23952,20698,-6312,310,-41,-25
9910,32767,-2958,480,-935,141,23910,20782,-6332,359,-37,-6
10018,32767,-3186,481,-912,126,23904,20788,-6310,383,-35,7
9830,32767,-3272,430,-868,117,23812,20874,-6330,371,-38,1
9524,32767,-3314,390,-855,117,23780,20954,-6322,335,-40,-7
9496,32767,-3576,414,-884,105,23884,21140,-6638,312,-41,-20
9704,32767,-3800,409,-906,74,23980,21240,-6874,309,-37,-12
9972,32767,-3822,362,-910,59,24056,21286,-6894,286,-30,4
10068,32767,-3910,304,-904,79,24080,21294,-6898,224,6,0
9882,32767,-3812,244,-889,93,23884,21184,-6810,163,23,-11
9688,32767,-3828,207,-891,66,23678,20914,-6806,117,9,-18
9650,32767,-3850,213,-915,51,23714,20598,-6906,123,-11,-27
9722,32767,-3834,228,-961,54,23784,20472,-7002,205,-16,-33
9772,32767,-3860,197,-1005,40,23878,20570,-7034,310,-14,-21
9774,32767,-3868,134,-1026,25,23876,20876,-7260,391,-11,-4
9704,32767,-3942,136,-1030,24,23844,21034,-7348,410,-15,3
9612,32767,-3994,202,-1050,29,23792,21074,-7538,393,-29,-8
9600,32767,-4242,250,-1092,37,23860,21208,-7642,413,-36,-17
9746,32767,-4394,331,-1144,73,23848,21412,-7750,419,-23,-15
9760,32767,-4426,335,-1182,88,23832,21498,-7880,399,-17,1
9724,32767,-4526,252,-1219,91,23824,21522,-7948,371,-18,11
9640,32767,-4810,142,-1237,88,23882,21338,-8136,323,-9,1
9566,32767,-4832,64,-1239,76,23980,21278,-8200,285,2,-29
9406,32767,-4888,42,-1268,45,23962,21446,-8392,261,17,-66
9274,32767,-4948,44,-1312,9,23876,21520,-8194,208,29,-71
9332,32767,-5156,35,-1349,-24,23588,21266,-8086,208,23,-33
9612,32767,-5502,86,-1382,2,23500,21042,-8158,254,3,-20
9732,32767,-5376,259,-1393,47,23584,20994,-8286,326,-25,-36
9688,32767,-5494,356,-1406,65,23730,21202,-8796,381,-32,-37
9876,32767,-5910,294,-1391,66,23776,21410,-9014,360,-14,-19
9804,32767,-6260,174,-1362,60,23818,21522,-9082,342,-11,-14
9696,32767,-6430,75,-1333,49,23852,21802,-9076,355,-1,-27
9550,32767,-6562,41,-1298,39,23838,22006,-8948,321,28,-34
9500,32767,-6716,58,-1275,33,23718,22066,-9048,199,57,-34
9456,32767,-6760,94,-1251,41,23630,21996,-9104,69,50,-32
9570,32767,-6868,106,-1238,59,23654,21764,-9096,22,33,-35
9748,32767,-6902,103,-1212,69,23766,21650,-9292,81,25,-26
9872,32767,-6986,84,-1166,62,23812,21474,-9280,80,28,-23
9918,32767,-7150,71,-1093,53,23710,21164,-9088,24,47,-35
9914,32767,-7156,94,-1039,58,23646,21150,-9026,56,79,-63
9782,32767,-7092,87,-1022,62,23408,21446,-9062,148,92,-58
9772,32767,-7108,39,-1017,68,23390,21782,-9376,176,43,10
9888,32767,-7032,-19,-998,73,23524,21772,-9552,92,9,16
9858,32767,-6914,-97,-915,61,23684,21578,-9604,18,13,-29
9626,32767,-6816,-117,-862,60,23800,21520,-9620,-13,40,-65
9554,32767,-6758,-103,-840,71,23704,21456,-9504,-30,68,-55
9604,32767,-6592,-44,-836,85,23534,21268,-9234,-7,79,-27
9584,32767,-6494,-31,-841,81,23278,21322,-9178,79,68,-12
9518,32767,-6366,-91,-844,82,23176,21504,-9522,137,42,-10
9392,32767,-6250,-148,-839,90,23360,21224,-9726,93,-18,-24
9398,32767,-6182,-147,-836,77,23628,21088,-9692,91,-43,-49
9312,32767,-6248,-65,-849,51,23718,21246,-9424,144,-31,-49
9344,32767,-6250,-6,-881,65,23734,21612,-9542,213,1,-12
9480,32767,-6126,37,-911,83,23550,21716,-9796,223,20,10
9632,32767,-6188,35,-916,67,23466,21728,-10028,167,28,-26
9708,32767,-6374,-37,-897,45,23490,21610,-10076,75,31,-80
9384,32767,-6348,-73,-865,43,23434,21458,-10014,34,26,-93
8926,32767,-6308,-55,-889,33,23434,21358,-10144,122,34,-44
8858,32767,-6322,-27,-948,13,23434,21548,-10526,196,56,-25
9194,32767,-6318,35,-1010,10,23482,21602,-10896,181,64,-28
9418,32767,-6710,-27,-985,-9,23550,21582,-10946,78,74,-55
9192,32767,-7002,-51,-909,-9,23446,21534,-10478,40,116,-106
8674,32767,-6980,-4,-879,-5,23372,21932,-9974,87,161,-115
8262,32767,-6934,27,-907,-6,23008,22132,-9456,73,156,-74
