elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
1,23690,4766,5196,-43,21,11,-0.000152,0.007081,0.008545
15628,23794,4806,5098,-37,20,14,-0.000542,0.029057,0.012084
31253,23782,4804,5070,-31,25,13,-0.000892,0.040046,0.014035
46879,23750,4786,5038,-24,28,12,-0.001531,0.061908,0.017818
62505,23690,4820,5108,-20,22,16,-0.001827,0.072779,0.019898
78131,23720,4838,5122,-21,16,14,-0.002605,0.094531,0.023938
93757,23726,4874,5124,-21,18,12,-0.002963,0.105291,0.025905
109382,23734,4868,5068,-24,26,12,-0.003877,0.126933,0.029966
125008,23692,4816,5066,-29,30,10,-0.004745,0.148107,0.033933
140633,23736,4820,5252,-28,24,10,-0.005200,0.158516,0.035802
156259,23756,4770,5114,-17,20,12,-0.006062,0.179463,0.039693
171884,23818,4782,5026,-8,22,14,-0.006596,0.190002,0.041707
187511,23790,4904,5090,-7,33,10,-0.007877,0.210740,0.045995
203138,23676,4902,5156,-9,36,8,-0.008487,0.220924,0.048157
218763,23760,4866,5186,-7,30,7,-0.009638,0.241072,0.052403
234388,23864,4840,5150,-6,22,4,-0.010316,0.251024,0.054594
250015,23836,4860,5092,-13,30,3,-0.011617,0.271211,0.058911
265641,23736,4852,5058,-9,34,6,-0.012838,0.290908,0.063038
281266,23638,4946,5164,-5,31,8,-0.013619,0.300664,0.065168
296892,23664,4948,5076,-23,25,8,-0.015119,0.320030,0.069481
312519,23642,4844,4982,-37,24,5,-0.015951,0.329683,0.071525
328146,23682,4762,5110,-43,25,7,-0.017329,0.348722,0.075178
343772,23712,4752,5168,-36,20,11,-0.018023,0.358131,0.076897
359398,23766,4784,5072,-15,15,13,-0.019656,0.377090,0.080615
375024,23816,4910,5042,-9,18,12,-0.020595,0.386423,0.082616
390650,23690,4954,5034,-29,32,10,-0.022462,0.405053,0.086944
406277,23620,4904,5130,-44,26,8,-0.024284,0.422968,0.090802
421903,23680,4824,5146,-38,13,8,-0.025109,0.431937,0.092509
437529,23812,4772,5040,-32,15,7,-0.026760,0.449914,0.096275
453155,23782,4724,5128,-22,25,8,-0.027677,0.458784,0.098167
468781,23746,4788,5160,-8,25,12,-0.029724,0.476168,0.102094
484408,23772,4896,5136,-8,17,11,-0.030896,0.484707,0.104270
500034,23860,4946,5066,-11,19,9,-0.033150,0.501866,0.108573
515661,23774,4884,5132,-28,34,4,-0.035324,0.518602,0.112857
531286,23710,4836,5126,-30,38,1,-0.036397,0.526779,0.114884
546913,23712,4824,5120,-19,28,3,-0.038415,0.542769,0.118884
562540,23756,4840,5026,-9,22,4,-0.039404,0.550697,0.121001
578166,23752,4856,5072,5,17,9,-0.041976,0.566744,0.125479
593792,23800,4962,5064,-1,20,10,-0.043360,0.574593,0.127724
609418,23728,4902,5092,-15,25,0,-0.045934,0.590186,0.132368
625044,23752,4958,5070,-26,28,1,-0.047201,0.597791,0.134572
640671,23668,4928,5130,-33,31,-1,-0.049420,0.612753,0.138842
656297,23664,4858,5086,-37,28,-1,-0.051614,0.627368,0.142903
671923,23668,4822,5086,-29,20,1,-0.052611,0.634642,0.145023
687549,23736,4834,5070,-13,18,3,-0.055079,0.649058,0.149176
703174,23778,4842,5116,-12,19,3,-0.056473,0.656223,0.151411
718801,23690,4928,5136,-15,23,5,-0.059107,0.670274,0.155832
734426,23734,4918,5038,-29,22,4,-0.060559,0.677202,0.158127
750053,23744,4868,5058,-42,24,2,-0.063052,0.690780,0.162424
765680,23700,4828,5132,-42,22,2,-0.064252,0.697481,0.164385
781305,23706,4872,5116,-29,20,6,-0.066484,0.710717,0.168263
796931,23722,4884,5094,-25,20,5,-0.069178,0.723611,0.172399
812556,23708,4884,5108,-33,21,3,-0.070523,0.730066,0.174617
828182,23690,4910,5158,-32,20,4,-0.073124,0.742715,0.178790
843808,23754,4832,5080,-29,18,2,-0.074436,0.748900,0.180896
859435,23786,4828,5054,-35,24,0,-0.077077,0.761201,0.185036
875062,23708,4856,5138,-24,27,6,-0.078300,0.767185,0.187277
890689,23716,4930,5146,-11,21,8,-0.081367,0.778881,0.191526
906315,23728,4892,5070,-21,16,5,-0.084529,0.790581,0.196279
921942,23832,4850,5094,-33,15,2,-0.085979,0.796295,0.198548
937569,23836,4864,5078,-26,19,2,-0.088844,0.807779,0.202869
953196,23732,4922,5122,-27,26,1,-0.090284,0.813383,0.205046
968821,23696,4900,5096,-43,27,-1,-0.093067,0.824176,0.209652
984447,23786,4778,5098,-49,23,-1,-0.094300,0.829434,0.211775
1000076,23748,4812,5142,-39,16,3,-0.096666,0.840027,0.215766
1015703,23788,4796,5068,-17,17,7,-0.098092,0.845243,0.217874
1031330,23778,4878,5100,-18,24,3,-0.101330,0.855489,0.222419
1046957,23712,4854,5038,-26,29,3,-0.104636,0.865505,0.227038
1062583,23658,4836,5084,-32,26,3,-0.104636,0.865505,0.227038
1078208,23654,4840,5150,-35,22,3,-0.108951,0.879831,0.233707
1093835,23700,4832,5122,-31,18,5,-0.110246,0.884584,0.235867
1109462,23772,4812,5066,-34,15,7,-0.113284,0.894049,0.240256
1125088,23794,4814,5066,-34,22,3,-0.114800,0.898701,0.242396
1140715,23744,4846,5146,-31,29,1,-0.117604,0.907660,0.246745
1156341,23676,4828,5096,-26,27,3,-0.120674,0.916343,0.251220
1171967,23748,4842,5082,-20,16,5,-0.122204,0.920606,0.253399
1187593,23836,4888,5148,-5,12,8,-0.125518,0.929204,0.258219
1203219,23792,4962,5148,-7,18,7,-0.127534,0.933608,0.260805
1218846,23792,4968,5116,-26,27,3,-0.131166,0.941816,0.265785
1234471,23704,4864,4990,-49,35,1,-0.132750,0.945794,0.268049
1250097,23676,4746,5102,-57,31,0,-0.135065,0.953465,0.272298
1265723,23732,4706,5206,-44,17,3,-0.136174,0.957303,0.274119
1281350,23776,4754,5190,-19,16,6,-0.138932,0.965174,0.278203
1296976,23856,4742,5062,-7,28,3,-0.142432,0.972742,0.282853
1312602,23732,4864,5056,-8,34,5,-0.144254,0.976346,0.285107
1328228,23680,4838,5092,-12,28,5,-0.147950,0.983387,0.290138
1343854,23734,4862,5126,-16,15,3,-0.149840,0.986983,0.292467
1359481,23804,4898,5130,-20,20,3,-0.153343,0.994076,0.297414
1375108,23676,4880,5098,-22,30,7,-0.155027,0.997482,0.299855
1390734,23676,4888,5096,-26,28,7,-0.158252,1.004062,0.304366
1406361,23772,4854,5044,-50,15,9,-0.161189,1.010573,0.308845
1421988,23856,4740,5086,-44,19,5,-0.162438,1.013894,0.310898
1437615,23850,4710,5124,-30,30,2,-0.165159,1.020446,0.314930
1453241,23764,4818,5136,-23,30,1,-0.166518,1.023533,0.317181
1468867,23720,4786,5076,-25,25,4,-0.169748,1.029487,0.321810
