ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,31382,562,-40,-65,20,23104,22878,-752,96,-42,-17,9276,10406,-6510,176,-21,52
32767,31164,662,-15,-69,26,23150,23036,-652,78,-36,-5,9626,10530,-6436,101,-19,49
32767,31418,1004,41,-67,30,23206,23184,-788,37,-29,-3,9766,10584,-6402,32,17,26
32767,31948,1398,82,-47,24,23282,23202,-864,-32,-21,-23,9586,10552,-6344,-43,57,-6
32767,32506,1464,78,-36,30,23110,23102,-1022,-97,-3,-31,9388,10476,-6432,-115,53,-18
32767,32666,1410,11,-28,27,22816,22674,-1112,-143,-10,-26,9434,10198,-6544,-187,36,-11
32767,32392,1378,-108,-14,18,22822,22312,-1244,-155,-27,-28,9600,9718,-6696,-254,43,-2
32767,31974,1342,-145,2,8,22992,22026,-1504,-138,-42,-25,9560,9190,-6742,-280,58,2
32767,31806,1330,-144,3,-3,22908,21868,-1546,-82,-47,-5,9512,8614,-6802,-244,51,0
32767,31688,1192,-134,18,-10,22924,21932,-1716,-41,-52,3,9494,8418,-6768,-181,32,4
32767,31660,918,-120,26,-11,22912,21996,-1622,-12,-54,5,9526,8322,-6698,-98,21,11
32767,31762,844,-124,24,-15,22972,22058,-1640,2,-57,4,9514,8444,-6692,-1,14,18
32767,31642,636,-145,12,-13,22940,22140,-1558,4,-57,3,9510,8662,-6720,81,1,23
32767,31338,460,-145,-5,-6,22986,22166,-1434,0,-55,3,9602,8948,-6730,125,-11,22
32767,31124,466,-70,-22,6,23056,22330,-1360,-1,-52,3,9640,9236,-6684,130,1,17
32767,31322,574,-20,-31,13,23010,22466,-1252,-8,-49,0,9592,9466,-6714,108,16,12
32767,31576,652,-11,-37,22,23012,22658,-1112,-13,-57,6,9506,9666,-6648,78,21,15
32767,31946,832,-55,-56,23,23016,22656,-1058,-10,-59,9,9498,9842,-6596,36,14,11
32767,31804,970,-114,-64,24,23022,22678,-1054,-10,-57,5,9566,9942,-6622,-4,22,7
32767,31668,1032,-107,-72,30,22998,22664,-1090,-2,-56,6,9480,9948,-6718,-31,40,13
32767,31666,1096,-72,-63,28,23052,22738,-1138,-6,-56,4,9398,9896,-6586,-51,48,19
32767,31682,1166,-30,-46,29,23112,22764,-1128,-19,-54,4,9354,9688,-6602,-70,37,23
32767,31972,1146,-3,-39,29,23014,22676,-1226,-48,-50,9,9446,9476,-6562,-73,27,25
32767,32232,1156,-54,-37,17,22986,22438,-1206,-65,-51,11,9568,9356,-6564,-63,30,27
32767,32036,1032,-108,-38,7,22988,22190,-1280,-41,-57,11,9522,9298,-6648,-38,35,30
32767,31720,1212,-112,-35,4,22908,22148,-1276,-18,-57,6,9432,9376,-6600,-11,30,31
32767,31536,1124,-73,-30,10,23022,22230,-1354,5,-54,7,9420,9446,-6602,-5,19,30
32767,31648,976,-46,-26,13,23118,22378,-1302,22,-49,9,9544,9400,-6596,-5,20,23
32767,31632,940,-53,-23,10,23046,22430,-1390,17,-43,4,9532,9336,-6630,-5,26,13
32767,31574,804,-54,-26,17,23046,22542,-1394,-2,-41,3,9530,9302,-6718,9,25,10
32767,31658,794,-55,-37,22,22982,22524,-1330,-14,-47,6,9558,9350,-6730,28,24,11
32767,31634,918,-82,-42,23,22976,22542,-1152,-20,-59,9,9594,9402,-6742,38,29,6
32767,31462,840,-64,-51,30,23098,22602,-1152,-8,-61,14,9580,9410,-6700,41,34,2
32767,31570,926,-16,-56,29,23090,22688,-1220,-18,-57,23,9508,9514,-6654,46,41,4
32767,32050,1088,-5,-52,28,23078,22586,-1212,-8,-54,27,9414,9580,-6564,49,34,13
32767,32422,1270,-54,-50,28,23104,22544,-1296,1,-56,20,9392,9598,-6620,66,21,18
32767,32118,1118,-124,-46,27,23132,22518,-1184,8,-50,17,9538,9602,-6698,89,9,25
32767,31660,1028,-128,-43,26,23022,22618,-1126,9,-54,20,9578,9646,-6690,101,15,28
32767,31512,930,-79,-46,22,22988,22786,-1174,-5,-51,18,9578,9678,-6668,88,33,27
32767,31868,946,-33,-56,17,23028,22766,-1136,-29,-55,18,9450,9726,-6540,62,41,17
32767,32082,1034,-57,-51,17,23072,22622,-1054,-38,-49,8,9372,9870,-6584,40,33,7
32767,31870,1164,-87,-36,25,23036,22566,-1156,-42,-47,-4,9454,10080,-6674,-21,28,3
32767,31676,1068,-84,-36,24,23050,22550,-1112,-33,-51,1,9464,9986,-6882,-55,30,7
32767,31612,1088,-69,-33,20,23080,22580,-1132,-17,-56,-6,9412,9846,-6808,-90,36,9
32767,31668,1152,-47,-21,20,23146,22732,-1216,-18,-51,-14,9412,9670,-6740,-121,35,8
32767,31996,1210,-65,-26,20,23066,22706,-1174,-20,-47,-2,9476,9576,-6610,-129,35,8
32767,31876,1136,-116,-16,12,23192,22732,-1242,-19,-47,-1,9450,9526,-6714,-112,29,13
32767,31594,1084,-92,-11,12,23120,22760,-1320,-27,-37,-2,9498,9400,-6624,-79,22,14
32767,31840,962,-53,-4,15,23070,22652,-1398,-30,-32,-3,9600,9446,-6716,-33,22,16
32767,32062,962,-55,-5,19,23000,22608,-1390,-45,-29,-9,9514,9660,-6776,-1,27,15
32767,32076,994,-84,-11,13,23058,22576,-1384,-52,-32,-6,9540,9712,-6798,-18,34,11
32767,31804,944,-109,-16,5,23108,22526,-1306,-58,-43,-4,9604,9728,-6932,-48,37,6
32767,31624,864,-98,-18,4,23106,22548,-1182,-60,-46,-5,9648,9616,-6886,-79,39,0
32767,31810,948,-75,-23,6,23000,22508,-1198,-51,-44,-2,9632,9512,-6788,-97,41,-5
32767,31786,1086,-67,-34,13,22940,22428,-1250,-31,-43,-5,9464,9484,-6622,-89,51,-2
32767,31736,1140,-69,-29,15,23090,22480,-1304,0,-37,-14,9260,9468,-6572,-58,49,3
32767,31706,1078,-69,-26,15,23076,22612,-1176,1,-33,-17,9274,9576,-6534,-29,28,9
32767,31668,878,-82,-29,10,22952,22658,-1246,-14,-39,-5,9556,9536,-6768,-6,4,14
32767,31642,848,-87,-24,5,22982,22636,-1122,-27,-54,4,9686,9534,-6874,-4,10,11
32767,31706,972,-65,-25,6,23058,22586,-1218,-32,-56,-1,9646,9434,-6764,-15,35,1
32767,31880,1254,-53,-28,13,23078,22570,-1318,-40,-50,-8,9390,9644,-6606,-29,49,-6
32767,31824,1294,-54,-27,16,23078,22572,-1308,-37,-43,-11,9316,9702,-6654,-42,36,0
32767,31908,1032,-65,-22,13,23218,22552,-1288,-34,-40,-15,9396,9672,-6772,-35,13,8
32767,31804,880,-90,-18,7,22998,22544,-1198,-17,-42,-10,9572,9580,-6754,-28,1,12
32767,31744,796,-102,-19,10,23124,22700,-1296,-11,-46,-2,9734,9468,-6792,-31,16,9
32767,31566,936,-71,-22,14,23190,22692,-1248,-17,-33,-10,9568,9524,-6840,-22,45,2
32767,31670,974,-48,-28,10,23060,22678,-1280,-44,-30,-16,9294,9700,-6620,-25,51,-9
32767,31918,1004,-38,-32,12,23032,22606,-1260,-58,-39,-16,9332,9618,-6682,-51,31,-6
32767,31952,974,-55,-31,11,23050,22402,-1136,-42,-45,-13,9512,9558,-6724,-41,15,3
32767,31924,930,-69,-33,6,22946,22408,-1188,-14,-47,-11,9652,9468,-6706,-20,18,8
32767,31852,942,-103,-36,5,22992,22518,-1294,7,-45,-7,9688,9506,-6760,-10,28,7
32767,31668,1026,-92,-34,9,23022,22656,-1248,18,-49,-7,9486,9588,-6780,-15,45,2
32767,31668,1156,-64,-33,11,23062,22848,-1204,1,-48,-8,9388,9698,-6658,-35,48,-1
32767,31686,1046,-52,-31,8,23086,22772,-1244,-26,-48,-8,9288,9632,-6840,-44,32,2
32767,31706,948,-36,-30,9,22968,22608,-1236,-45,-48,-15,9468,9408,-6758,-34,11,-1
32767,32080,986,-40,-30,15,23094,22528,-1212,-42,-52,-16,9568,9386,-6700,-20,17,1
32767,31984,1056,-92,-32,13,23154,22526,-1190,-20,-43,-12,9512,9526,-6736,-8,37,4
32767,31624,1156,-98,-31,9,22948,22568,-1272,-11,-40,-13,9376,9564,-6762,6,34,7
32767,31550,1102,-62,-26,8,22978,22586,-1288,0,-48,-5,9468,9662,-6650,5,14,4
32767,31772,1034,-37,-20,8,23068,22660,-1310,5,-54,-10,9480,9662,-6662,-2,2,9
32767,32078,1044,-59,-25,3,23114,22718,-1268,-17,-39,-16,9540,9594,-6742,-7,16,8
32767,31884,1006,-97,-28,6,23086,22680,-1314,-27,-35,-16,9514,9600,-6754,-11,32,2
32767,31666,930,-82,-27,10,23056,22674,-1224,-40,-39,-18,9444,9572,-6768,-24,35,-4
32767,31648,978,-54,-25,11,22998,22564,-1158,-44,-42,-16,9474,9580,-6800,-34,31,-2
32767,31820,910,-50,-24,6,22978,22410,-1198,-29,-54,-12,9456,9580,-6770,-38,26,0
32767,31832,886,-57,-24,4,23012,22426,-1126,3,-59,-13,9544,9552,-6644,-35,19,2
32767,31890,1028,-64,-30,6,23128,22578,-1174,27,-53,-11,9564,9528,-6768,-28,22,6
32767,31942,986,-81,-38,2,23006,22692,-1242,35,-51,-6,9502,9506,-6810,-23,33,7
32767,31616,1102,-83,-32,6,23022,22760,-1134,17,-59,-10,9382,9462,-6818,-19,33,4
32767,31626,1134,-48,-23,5,23122,22702,-1244,-5,-55,-13,9352,9552,-6720,-20,23,0
32767,31744,1108,-27,-19,6,23088,22718,-1240,-27,-53,-15,9428,9602,-6692,-8,-2,12
32767,31914,1048,-33,-22,7,23096,22518,-1380,-28,-43,-17,9582,9560,-6678,9,-2,21
32767,31966,1100,-62,-21,-2,23072,22528,-1446,-20,-41,-14,9572,9586,-6758,13,11,19
32767,31844,1116,-85,-23,-6,23068,22564,-1404,-17,-44,-16,9456,9656,-6686,4,22,12
32767,31768,1086,-83,-19,-7,23186,22568,-1362,-22,-44,-15,9454,9736,-6648,-17,14,8
32767,31772,970,-70,-12,-2,23172,22622,-1342,-36,-41,-19,9496,9750,-6746,-35,5,9
32767,31792,860,-66,-11,3,23084,22634,-1246,-45,-37,-21,9608,9612,-6806,-44,12,6
32767,31876,912,-69,-12,5,22912,22576,-1206,-39,-36,-16,9680,9568,-6784,-50,26,0
32767,31788,944,-69,-17,2,22888,22548,-1214,-32,-43,-12,9632,9492,-6720,-57,41,-13
32767,31822,892,-63,-25,2,23002,22474,-1262,-21,-48,-10,9518,9482,-6678,-56,42,-11
32767,31838,854,-81,-33,-5,23082,22572,-1210,-20,-47,-13,9404,9506,-6706,-48,37,-5
32767,31768,910,-88,-40,-3,23124,22570,-1270,-27,-48,-17,9254,9468,-6748,-31,26,1
32767,31716,950,-80,-40,4,23240,22534,-1150,-35,-41,-20,9406,9370,-6792,-10,16,2
32767,31704,1116,-53,-35,8,23082,22490,-1224,-29,-37,-20,9464,9426,-6782,3,16,-2
32767,31938,1070,-48,-29,7,22846,22500,-1210,-18,-45,-16,9470,9512,-6732,2,19,-3
32767,31898,1014,-91,-23,2,22934,22596,-1228,2,-55,-6,9552,9564,-6580,0,12,0
32767,31620,1062,-108,-27,0,23052,22692,-1290,0,-52,-12,9594,9684,-6618,-7,11,8
32767,31528,1012,-96,-32,0,23088,22768,-1424,-21,-35,-18,9564,9706,-6760,-12,21,9
32767,31576,1092,-67,-32,6,23198,22646,-1364,-45,-31,-20,9428,9660,-6774,-29,27,4
32767,31788,1134,-46,-31,5,23234,22506,-1240,-46,-30,-25,9378,9618,-6780,-58,32,-6
32767,31966,1074,-51,-27,4,23088,22436,-1170,-47,-28,-21,9320,9564,-6788,-73,34,-7
32767,31944,914,-74,-23,1,22922,22432,-1124,-34,-34,-10,9430,9558,-6690,-58,23,-1
32767,31840,836,-94,-21,-2,22892,22478,-1274,-13,-44,-5,9600,9508,-6612,-45,14,5
32767,31732,846,-92,-24,-2,22960,22538,-1244,-3,-47,-4,9730,9514,-6744,-43,25,8
32767,31610,986,-71,-33,-2,22982,22654,-1296,-13,-40,-11,9538,9574,-6682,-46,51,4
32767,31644,954,-39,-42,1,23010,22552,-1284,-42,-47,-17,9340,9550,-6690,-53,48,-1
32767,31834,1160,-25,-38,5,23124,22374,-1186,-40,-48,-16,9274,9480,-6726,-55,33,0
32767,31882,1204,-41,-35,3,23090,22232,-1322,-18,-47,-19,9360,9480,-6734,-45,19,6
32767,32030,1124,-84,-32,0,22930,22338,-1130,9,-49,-20,9414,9378,-6730,-34,9,11
32767,31722,954,-132,-27,-4,22922,22566,-1212,40,-54,-14,9590,9338,-6772,-26,9,9
32767,31464,974,-120,-21,1,23020,22710,-1158,42,-58,-13,9534,9372,-6746,-12,14,5
32767,31276,940,-57,-15,8,22984,22800,-1184,16,-51,-9,9434,9472,-6798,-6,17,10
32767,31614,1062,-31,-22,7,23016,22688,-1260,-14,-56,-7,9384,9602,-6698,4,10,20
32767,31740,980,-40,-28,8,23096,22562,-1254,-27,-64,-17,9452,9510,-6550,17,-2,18
32767,31904,1012,-58,-26,6,23198,22546,-1380,-27,-54,-18,9448,9488,-6556,27,-3,18
32767,31794,1068,-78,-22,4,22992,22506,-1394,-19,-46,-15,9494,9502,-6714,43,1,14
32767,31728,1136,-67,-14,4,22928,22558,-1418,-12,-53,-13,9568,9536,-6748,51,-6,13
32767,31782,1148,-45,-6,8,23082,22690,-1312,8,-51,-10,9630,9774,-6712,31,-6,14
32767,31840,1114,-58,-5,12,23050,22722,-1296,-4,-40,-12,9646,9834,-6804,-2,10,14
32767,31838,910,-79,-15,4,22994,22698,-1268,-21,-36,-15,9550,9804,-6818,-30,28,11
32767,31718,806,-101,-21,-2,22994,22634,-1204,-44,-47,-16,9496,9620,-6850,-61,28,7
32767,31622,776,-77,-23,-1,22988,22484,-1096,-44,-53,-16,9472,9356,-6862,-68,33,5
32767,31630,870,-40,-22,3,23040,22348,-1112,-22,-52,-13,9396,9322,-6650,-46,36,8
32767,31840,878,-19,-23,3,23024,22398,-1140,9,-54,-6,9452,9448,-6668,-22,23,14
32767,32008,856,-45,-31,1,23006,22536,-1238,28,-53,1,9436,9430,-6698,5,2,20
32767,31802,906,-85,-36,3,22952,22682,-1184,10,-58,-5,9598,9498,-6706,23,-1,20
32767,31544,1132,-78,-43,0,23060,22694,-1348,-19,-54,-8,9524,9602,-6582,21,19,22
32767,31692,1186,-50,-32,-3,23096,22616,-1342,-45,-49,-12,9394,9688,-6422,6,23,25
32767,31802,1122,-52,-27,2,23098,22510,-1388,-50,-42,-15,9450,9694,-6572,-3,3,24
32767,31846,1120,-56,-21,7,23046,22486,-1386,-39,-40,-16,9678,9644,-6724,-12,1,17
32767,31778,1038,-61,-14,4,23042,22504,-1356,-34,-45,-15,9634,9632,-6718,-35,25,9
32767,31738,1050,-66,-14,1,23074,22574,-1224,-16,-48,-8,9504,9612,-6656,-59,37,4
32767,31760,966,-78,-17,4,22984,22664,-1208,-13,-49,-7,9486,9588,-6614,-73,24,5
32767,31656,882,-88,-18,8,23074,22620,-1280,-22,-53,-4,9612,9554,-6692,-67,14,5
32767,31514,844,-74,-23,11,23164,22536,-1264,-28,-49,-1,9660,9490,-6786,-49,29,1
32767,31684,856,-59,-30,10,22972,22526,-1252,-23,-48,-5,9528,9426,-6720,-41,47,-4
32767,31798,962,-52,-36,14,22982,22598,-1222,-25,-57,-4,9396,9454,-6736,-31,40,-4
32767,31926,1090,-71,-41,11,23116,22614,-1208,-23,-62,1,9466,9502,-6676,-2,13,3
32767,31826,1106,-95,-42,12,23046,22596,-1166,-25,-56,1,9616,9502,-6674,2,14,4
32767,31636,1004,-88,-40,12,23042,22596,-1238,-26,-57,-3,9608,9518,-6602,12,24,5
32767,31618,1006,-55,-33,14,23126,22534,-1324,-31,-53,-7,9532,9572,-6680,20,28,8
32767,31784,900,-43,-34,14,23048,22594,-1306,-26,-43,-5,9572,9668,-6762,9,29,2
32767,31874,1068,-59,-34,15,22976,22598,-1208,-25,-38,-6,9546,9706,-6808,-14,35,-5
32767,31872,1142,-81,-41,13,23034,22610,-1210,-30,-43,-6,9456,9666,-6692,-29,40,-3
32767,31574,1094,-85,-39,13,23054,22540,-1026,-33,-47,-4,9486,9634,-6612,-33,34,2
32767,31634,1028,-66,-36,13,23042,22402,-1076,-31,-44,-3,9480,9524,-6578,-36,32,-5
32767,31788,870,-56,-39,13,23048,22284,-1068,-23,-40,5,9480,9464,-6692,-25,32,-8
32767,31868,776,-77,-43,16,23040,22232,-1116,-3,-29,11,9522,9408,-6776,-5,27,-6
32767,31752,838,-93,-50,17,23076,22276,-1214,33,-17,13,9572,9512,-6658,1,36,-5
32767,31586,1088,-82,-55,17,23058,22408,-1136,55,-5,5,9482,9542,-6484,-3,48,-7
32767,31528,1202,-50,-55,17,22892,22636,-1186,37,-8,-3,9358,9496,-6346,5,44,-5
32767,31654,1208,-25,-50,19,22862,22786,-1250,9,-16,4,9358,9526,-6364,15,28,-9
32767,31700,1126,-24,-52,27,22892,22812,-1294,-4,-38,14,9438,9588,-6302,28,27,-14
32767,31628,1138,-26,-65,35,22998,22754,-1266,-18,-54,12,9498,9562,-6584,44,26,-20
32767,31552,1260,-17,-91,39,23074,22720,-1332,-20,-62,18,9560,9634,-6800,43,26,-23
32767,31862,1156,-51,-132,51,23130,22702,-1402,-14,-64,25,9554,9586,-7020,14,32,-34
32767,31952,1056,-123,-154,45,23164,22686,-1518,1,-62,28,9570,9542,-6948,-28,40,-48
32767,31750,1058,-172,-134,44,23146,22732,-1520,15,-58,28,9520,9472,-6942,-50,43,-52
32767,31606,1336,-124,-76,42,23114,22786,-1410,10,-59,29,9512,9346,-6854,-34,36,-42
32767,31712,1392,-85,-52,46,23260,22846,-1486,-1,-46,24,9544,9212,-6840,6,30,-30
32767,31976,1294,-69,-45,45,23204,22842,-1586,-3,-36,26,9450,9222,-6716,60,22,-24
32767,31968,1144,-70,-40,42,23054,22706,-1590,-6,-35,25,9442,9264,-6790,120,12,-20
32767,32008,1044,-76,-56,37,23020,22632,-1592,-5,-42,24,9546,9448,-6808,170,6,-15
32767,32038,914,-90,-65,35,23122,22642,-1512,2,-44,33,9590,9642,-6848,168,14,-19
32767,32020,918,-108,-76,32,23096,22702,-1562,15,-34,45,9666,9736,-6946,141,30,-22
32767,31820,846,-111,-68,37,23156,22700,-1590,33,-30,53,9638,9780,-6904,111,46,-22
32767,31714,908,-80,-70,41,23194,22784,-1488,39,-30,54,9588,9756,-7018,79,57,-21
32767,31652,964,-53,-87,33,23168,22908,-1258,36,-26,48,9608,9662,-7046,34,67,-32
32767,31806,1022,-19,-110,32,22954,23070,-1190,15,-25,46,9508,9518,-6960,-7,84,-44
