ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,30430,1806,-35,-52,-6,23286,21880,-536,-17,-45,-3,8672,6964,-7536,-5,41,13
32767,30698,2012,4,-43,-3,23206,21914,-606,-9,-48,-4,8630,6924,-7526,-24,42,10
32767,30946,2060,-29,-36,-3,23256,21988,-616,-15,-54,-5,8610,6962,-7510,-43,34,2
32767,30746,2020,-79,-36,-3,23366,22048,-592,-21,-57,-5,8722,6906,-7568,-53,19,0
32767,30668,1986,-73,-37,6,23336,22150,-680,-36,-52,-12,8794,6924,-7588,-58,9,0
32767,30638,1988,-62,-30,10,23276,22076,-668,-47,-52,-10,8786,6900,-7676,-71,20,-7
32767,30642,1948,-54,-27,17,23424,22132,-690,-47,-52,-6,8642,6822,-7580,-85,38,-11
32767,30678,1952,-55,-25,19,23420,22218,-682,-53,-40,-8,8586,6768,-7568,-70,26,-11
32767,30778,1944,-68,-21,21,23288,22162,-658,-54,-34,-1,8632,6794,-7592,-41,10,-8
32767,30938,1926,-91,-28,23,23194,22056,-648,-45,-39,-5,8750,6872,-7712,-15,5,-5
32767,30858,1850,-111,-24,21,23298,22096,-644,-32,-47,-9,8752,6912,-7740,-1,16,-2
32767,30764,1842,-103,-31,20,23440,22128,-664,-33,-50,-3,8702,7036,-7782,0,24,-7
32767,30788,1858,-88,-38,17,23420,22140,-662,-29,-43,0,8760,7096,-7766,-9,24,-2
32767,30744,1866,-78,-37,18,23320,22226,-624,-36,-39,-5,8826,7066,-7772,-31,29,-1
32767,30836,1866,-69,-32,17,23330,22120,-742,-46,-38,-8,8744,7010,-7694,-56,37,-3
32767,30892,1886,-59,-29,19,23350,22064,-698,-57,-33,-7,8638,6938,-7714,-51,38,-1
32767,31002,2002,-86,-34,13,23280,21990,-676,-54,-30,-7,8698,6842,-7592,-45,29,3
32767,30776,1836,-107,-36,10,23238,22020,-628,-52,-35,-7,8754,6770,-7600,-39,28,2
32767,30712,1796,-88,-37,11,23224,22028,-506,-41,-37,-8,8732,6794,-7654,-40,33,-5
32767,30862,1816,-76,-48,13,23296,22042,-512,-29,-44,-6,8630,6770,-7772,-40,31,-3
32767,30772,1812,-101,-52,11,23336,21942,-426,-24,-52,-6,8582,6804,-7734,-26,29,4
32767,30630,1988,-111,-49,11,23284,21944,-540,-10,-52,-5,8622,6870,-7700,-12,15,8
32767,30598,2082,-90,-42,13,23278,21996,-676,-9,-47,-4,8732,6854,-7622,-10,12,11
32767,30670,2094,-71,-34,14,23328,22174,-668,-14,-48,-1,8698,6888,-7610,-15,25,14
32767,30638,2084,-64,-24,19,23398,22288,-666,-27,-40,-3,8632,6816,-7646,-8,24,15
32767,30668,1964,-59,-21,18,23328,22240,-622,-42,-36,-5,8598,6858,-7644,9,6,8
32767,30844,1952,-52,-23,17,23336,22120,-720,-56,-35,-4,8748,6898,-7702,18,-5,1
32767,31028,1840,-97,-25,18,23350,21984,-630,-53,-36,-10,8868,7036,-7720,2,4,1
32767,30796,1832,-130,-24,17,23354,21976,-626,-50,-39,-15,8838,7154,-7810,-25,22,2
32767,30576,1806,-102,-23,21,23308,22040,-738,-38,-37,-11,8750,7126,-7776,-44,34,5
32767,30584,1806,-64,-25,21,23266,22190,-632,-39,-40,-3,8762,7064,-7760,-65,37,0
32767,30750,1860,-58,-28,13,23286,22184,-604,-44,-43,-2,8752,6862,-7700,-96,39,-1
32767,30958,1790,-75,-39,10,23342,22072,-706,-55,-44,-7,8682,6758,-7700,-90,40,-7
32767,30944,1824,-119,-38,8,23270,21998,-610,-58,-37,-11,8778,6682,-7766,-65,33,-6
32767,30768,1874,-120,-37,13,23274,21900,-704,-43,-36,-8,8710,6786,-7706,-38,29,1
32767,30638,1926,-81,-32,15,23294,21880,-706,-20,-37,-7,8682,6840,-7756,-26,31,5
32767,30740,1928,-76,-30,14,23260,22004,-578,-7,-41,-10,8636,6862,-7748,-20,27,8
32767,30734,1824,-82,-30,11,23308,22096,-634,-13,-45,-7,8672,6842,-7696,-13,20,5
32767,30630,1774,-78,-35,8,23192,22150,-578,-30,-52,-7,8752,6770,-7772,-8,18,6
32767,30602,1814,-72,-41,6,23290,22032,-622,-32,-56,-11,8822,6754,-7696,-11,32,6
32767,30714,1882,-64,-44,5,23346,21956,-656,-27,-55,-11,8612,6836,-7764,-18,29,2
32767,30798,1964,-63,-36,9,23378,21928,-732,-8,-45,-12,8606,6872,-7692,-18,15,5
32767,30676,2038,-69,-33,13,23276,22032,-758,7,-40,-10,8642,6956,-7730,-13,9,10
32767,30692,1988,-73,-24,14,23392,22202,-732,7,-45,-8,8718,7014,-7716,-8,16,11
32767,30632,1810,-61,-21,15,23428,22248,-650,-9,-39,-6,8746,6940,-7712,-4,21,11
32767,30832,1766,-60,-25,10,23308,22186,-666,-39,-37,-5,8756,6834,-7708,-5,25,9
32767,30824,1820,-67,-34,8,23230,21992,-596,-67,-48,-6,8798,6824,-7650,-8,29,9
32767,30910,1766,-69,-38,7,23230,21802,-560,-64,-48,-14,8808,6858,-7674,-15,37,8
32767,30770,1900,-78,-39,11,23274,21730,-698,-32,-44,-15,8694,6820,-7692,-10,36,8
32767,30694,2016,-65,-39,9,23288,21818,-728,6,-39,-11,8610,6890,-7764,-11,33,6
32767,30752,2072,-71,-39,6,23198,21942,-676,37,-42,-15,8568,6828,-7720,-15,25,6
32767,30588,1894,-95,-38,6,23118,22006,-604,37,-52,-18,8644,6794,-7640,-11,21,6
32767,30494,1796,-77,-45,9,23254,22072,-566,44,-65,-5,8718,6754,-7818,-1,11,13
32767,30572,1840,-67,-55,7,23230,21988,-526,53,-86,-6,8726,6738,-7790,26,10,16
32767,30632,1846,-82,-60,4,23280,21984,-512,61,-87,-8,8704,6722,-7728,42,10,11
32767,30488,1988,-56,-44,8,23390,21944,-634,65,-75,13,8662,6768,-7682,69,4,5
32767,30420,2228,-11,-36,6,23422,21890,-690,84,-57,23,8592,6868,-7558,92,2,3
32767,30538,2168,19,-28,3,23198,21970,-648,91,-55,12,8504,6888,-7446,90,-17,-3
32767,30860,2044,23,-16,-5,23168,22090,-634,69,-56,0,8548,6840,-7432,80,-53,-16
32767,31000,2012,10,-21,4,23364,22196,-692,58,-61,9,8740,6756,-7546,95,-77,-18
32767,30770,1896,-51,-61,7,23516,22206,-582,57,-40,16,8916,6806,-7598,115,-60,-17
32767,30746,1764,-87,-82,5,23412,22232,-804,64,-19,8,8914,6870,-7524,109,-24,-28
32767,30456,1816,-95,-74,6,23358,22252,-798,74,3,1,8654,7012,-7574,92,-6,-40
32767,30434,1816,-37,-64,12,23154,22272,-788,71,-7,-4,8496,7160,-7598,81,-12,-37
32767,30876,1854,-1,-66,14,23258,22258,-694,67,-23,-6,8560,7270,-7656,71,-36,-16
32767,30982,1796,-19,-76,18,23284,22386,-652,70,-55,6,8900,7170,-7658,48,-49,-12
32767,30892,1742,-43,-91,24,23328,22626,-668,72,-80,-1,9222,6964,-7708,20,-22,-28
32767,30700,1862,-39,-110,32,23396,22660,-702,44,-90,1,9076,6852,-7788,-9,30,-45
32767,30750,1962,-29,-81,21,23410,22670,-630,21,-77,4,8730,6858,-7726,-17,53,-47
32767,30842,2134,1,-46,13,23364,22528,-848,0,-66,2,8552,6906,-7642,-9,37,-28
32767,30812,2346,31,-20,11,23176,22276,-834,12,-58,-4,8596,6884,-7546,2,11,-2
32767,31220,2328,57,-18,8,23296,22036,-922,24,-73,-7,8698,6904,-7550,14,7,9
32767,31444,2212,25,-9,12,23406,22106,-780,72,-85,-8,8640,6886,-7656,63,3,7
32767,31342,2084,-21,-13,9,23488,22090,-880,108,-76,-12,8832,6922,-7760,97,-14,12
32767,30964,2046,-63,-29,-2,23270,22246,-910,113,-71,-21,8984,6894,-7812,86,4,18
32767,30644,1918,-67,-40,-13,23334,22454,-938,116,-70,-20,8940,6936,-7696,49,40,6
32767,30424,1776,17,-29,-24,23434,22674,-826,90,-63,-10,8698,6916,-7550,31,52,-1
32767,30664,1706,78,-34,-30,23308,22716,-764,43,-48,-16,8678,6818,-7518,39,34,-1
32767,30938,1760,83,-27,-30,23030,22530,-760,1,-59,-40,8730,6772,-7576,44,15,-6
32767,31008,1926,73,-33,-18,23022,22144,-438,-27,-91,-73,8754,6684,-7512,38,15,-13
32767,31224,1900,50,-60,-13,23436,22062,-576,-6,-94,-87,8664,6722,-7638,58,17,-13
32767,31286,1812,4,-74,-23,23426,21848,-630,50,-73,-59,8728,6854,-7750,83,21,-4
32767,30772,1924,-43,-69,-62,23336,21758,-630,103,-70,-82,8716,6920,-7596,93,27,0
32767,30092,2086,-61,-45,-71,23518,22318,-628,120,-65,-106,8574,6988,-7510,75,30,-9
32767,30180,2300,4,-28,-40,23232,22640,-874,159,-61,-58,8478,6946,-7450,59,15,-15
32767,30986,2236,58,-4,-127,23032,22694,-546,103,-72,-66,8526,6822,-7314,70,-18,-10
32767,30620,2046,8,-5,-144,23346,22904,-626,86,-70,-84,8774,6740,-7356,85,-44,-10
32767,30806,1986,6,-12,-86,23422,22994,-928,54,-64,-50,8980,6728,-7558,105,-36,-23
32767,30922,2056,61,-17,-103,23278,22728,-704,24,-59,-54,8618,6878,-7622,135,0,-29
32767,31614,2356,-3,-15,-76,23482,22774,-942,24,-64,-86,8482,7044,-7562,105,0,-28
