ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,32660,2674,-9,-83,10,23796,23478,-560,7,-78,11,8702,8154,-7486,-22,42,-31
32767,32762,2826,-27,-63,-5,23838,23558,-532,4,-73,4,8640,8184,-7368,-11,24,-23
32767,32720,2782,-46,-43,-11,23954,23520,-524,-12,-67,-13,8682,8272,-7368,13,6,-11
32767,32688,2622,-45,-28,-8,24056,23464,-520,-19,-53,-23,8796,8304,-7390,24,-6,-1
32767,32744,2540,-53,-27,-6,23926,23288,-562,1,-46,-24,9048,8322,-7370,26,-10,0
32767,32660,2378,-101,-34,-11,23672,23118,-396,42,-46,-59,9036,8432,-7476,22,-5,1
32767,32304,2394,-135,-42,-19,23714,23478,-608,115,-53,-35,8994,8518,-7480,11,-1,10
32767,32040,2476,-107,-48,-21,23658,23822,-530,126,-62,-17,8886,8490,-7474,1,-2,23
32767,31770,2536,-57,-59,-39,23486,23888,-736,94,-73,-16,8862,8344,-7392,-9,2,34
32767,32188,2434,2,-48,-35,23340,23718,-664,32,-83,-37,8764,8166,-7380,-22,-6,26
32767,32558,2380,28,-34,-24,23598,23484,-662,-43,-91,-68,8846,8044,-7438,-16,-22,15
32767,32767,2604,42,-32,-41,23858,23210,-914,-55,-75,-73,8876,8050,-7546,16,-19,17
32767,32767,2666,-11,-29,-55,23636,22948,-744,-60,-45,-74,8792,8150,-7490,37,12,21
32767,32532,2820,-91,-25,-98,23394,22938,-716,-11,-48,-74,8704,8126,-7372,10,11,12
32767,31778,2402,-127,-41,-118,23548,23254,-762,41,-58,-68,8742,8076,-7252,-16,-13,-5
32767,31332,2240,-74,-30,-80,23606,23472,-766,44,-57,-61,8898,8054,-7336,-10,-23,-11
32767,32108,2130,-22,-4,-91,23628,23608,-772,32,-60,-65,8912,8042,-7460,14,-17,-14
32767,32340,2210,-17,-24,-73,23732,23660,-836,-5,-61,-83,8870,8084,-7518,18,-11,-21
32767,32630,2224,-62,-36,-76,23636,23536,-848,-32,-48,-94,8882,8086,-7624,-5,-3,-38
32767,32394,2266,-100,-40,-80,23530,23406,-758,-52,-45,-99,8864,8086,-7552,-16,0,-45
32767,32056,2282,-97,-33,-77,23556,23346,-860,-26,-60,-90,8878,8206,-7508,1,0,-40
32767,32008,2202,-73,-34,-76,23710,23300,-784,16,-59,-82,8864,8266,-7544,3,0,-32
32767,32146,2268,-60,-39,-64,23718,23384,-750,38,-56,-79,8886,8186,-7610,-9,0,-32
32767,32326,2294,-69,-32,-94,23738,23422,-806,41,-56,-94,8998,8086,-7622,-13,0,-40
32767,32166,2242,-40,-45,-65,23532,23556,-832,24,-42,-100,8958,8028,-7550,0,10,-40
32767,32352,2432,-37,-45,-50,23408,23576,-748,16,-42,-86,8894,8040,-7516,21,19,-35
32767,32480,2306,-46,-36,-95,23518,23486,-688,23,-66,-63,8828,8154,-7472,39,19,-30
32767,32416,2262,-47,-41,-117,23984,23560,-614,12,-69,-63,8740,8154,-7428,42,10,-26
32767,32362,2212,-34,-48,-82,23992,23600,-746,30,-62,-49,8942,8072,-7476,26,-4,-35
32767,32604,2364,-33,-40,-88,23772,23794,-766,-1,-57,-43,9064,7940,-7522,27,12,-41
32767,32384,2600,29,-39,-95,23820,23846,-738,21,-56,-3,9042,8134,-7468,30,27,-44
32767,32762,2442,46,-47,-28,23550,23606,-778,10,-62,2,8986,8344,-7418,30,26,-30
32767,32767,2428,5,-40,-57,23730,23440,-544,-17,-78,-46,9032,8424,-7384,28,14,-19
32767,32767,2412,-47,-43,-37,24016,23422,-806,-10,-78,-53,9058,8522,-7488,19,17,-12
32767,32767,2546,-31,-32,-13,23834,23320,-684,-24,-42,-13,8934,8524,-7560,-4,41,-7
32767,32754,2448,-12,-43,-19,23516,23262,-658,-13,-35,-4,8942,8416,-7520,-21,51,0
32767,32542,2370,-64,-38,-68,23544,23400,-646,7,-43,-8,9062,8152,-7372,-55,54,-7
32767,31970,2242,-15,-38,-24,23696,23490,-688,-17,-36,-10,8892,7964,-7302,-83,67,-20
32767,32454,2382,51,-44,-11,23456,23330,-668,-4,-41,-16,8730,7866,-7304,-79,58,-17
32767,32767,2222,-3,-54,-20,23514,23140,-628,2,-53,-23,8816,7834,-7418,-45,39,-2
32767,32740,2264,-72,-67,-20,23724,23144,-620,22,-66,-26,8880,7886,-7546,-20,33,7
32767,32230,2252,-95,-74,-21,23880,23340,-646,43,-49,-18,8910,8000,-7614,-7,45,7
32767,31876,2378,-48,-70,-21,23602,23650,-762,48,-32,4,8888,8060,-7608,-1,47,3
32767,31894,2470,-3,-58,-35,23418,23594,-674,40,-41,5,8850,8156,-7480,-3,44,0
32767,32260,2462,31,-52,-36,23622,23576,-548,-4,-64,-19,8766,8026,-7388,-17,43,2
32767,32766,2316,16,-55,-19,23846,23456,-750,-32,-45,-24,8696,7900,-7428,-15,34,2
32767,32767,2366,-18,-57,-2,23582,23248,-778,-42,-35,-15,8832,7854,-7532,26,18,5
32767,32516,2472,-48,-59,-7,23464,23212,-650,-13,-47,-9,9020,8078,-7638,65,10,2
32767,32156,2480,-64,-57,-13,23620,23260,-736,31,-62,-7,8990,8260,-7492,47,26,1
32767,32142,2518,-25,-53,-12,23662,23240,-772,73,-66,-7,8872,8328,-7498,0,43,4
32767,32444,2496,-21,-52,-15,23740,23326,-824,98,-66,-15,8820,8192,-7484,-32,43,3
32767,32574,2482,-48,-50,-20,23816,23608,-728,85,-50,-18,8882,8092,-7600,-42,33,-1
32767,32312,2492,-53,-53,-14,23666,23848,-764,25,-27,-14,8932,7946,-7670,-31,40,1
32767,31958,2536,-27,-44,-21,23362,23696,-758,-42,-28,-9,8838,7900,-7548,-7,56,3
32767,32020,2352,22,-46,-25,23428,23296,-584,-49,-59,-24,8740,7920,-7338,-4,54,-1
32767,32442,2344,34,-45,-37,23814,23052,-612,-5,-76,-40,8674,7906,-7412,-3,36,-1
32767,32767,2284,-1,-65,-31,23872,23112,-632,46,-63,-20,8788,7810,-7454,10,18,-4
32767,32626,2510,-42,-64,-32,23724,23262,-686,80,-60,-14,8896,7822,-7674,46,21,-3
32767,32206,2676,-76,-61,-38,23638,23692,-742,93,-52,-10,9022,8120,-7730,80,36,3
32767,31792,2602,-38,-54,-14,23698,23876,-656,42,-49,-2,8916,8284,-7644,64,50,7
32767,32010,2564,49,-28,-28,23802,23806,-568,-36,-47,-21,8766,8282,-7416,26,44,-3
32767,32767,2478,60,-39,-27,23652,23500,-594,-58,-38,-23,8810,8094,-7398,-2,21,-6
32767,32767,2462,-22,-42,-35,23700,23442,-680,-42,-40,-16,8858,8040,-7448,-6,23,-5
32767,32592,2458,-68,-53,-28,23582,23462,-710,4,-39,0,8822,8070,-7482,3,24,-6
32767,32488,2500,-62,-59,-20,23640,23592,-800,19,-49,11,8848,8198,-7600,13,28,0
32767,32330,2662,-36,-49,-4,23752,23706,-770,44,-58,14,8778,8270,-7490,12,23,9
32767,32534,2656,-27,-44,-6,23718,23740,-930,40,-55,11,8812,8258,-7522,-8,18,10
32767,32767,2630,-26,-40,2,23734,23718,-998,32,-50,11,8942,8220,-7510,-25,23,9
32767,32767,2632,-57,-34,-3,23820,23702,-960,21,-42,10,8978,8130,-7618,-27,30,7
32767,32708,2630,-87,-40,-5,23638,23700,-1004,29,-33,20,8920,8088,-7788,-18,39,12
32767,32522,2576,-98,-37,-11,23744,23724,-844,32,-39,25,8882,8000,-7740,-9,44,20
32767,32434,2422,-64,-25,-16,23856,23722,-904,36,-31,31,8862,8062,-7584,6,45,21
32767,32356,2376,-16,-20,-25,23676,23738,-778,30,-18,44,8934,8144,-7652,18,40,24
32767,32714,2162,0,-36,-21,23528,23702,-778,30,-32,39,9068,8086,-7712,27,48,28
32767,32636,2252,-14,-45,-18,23518,23700,-844,48,-45,27,8980,8080,-7824,27,65,25
32767,32708,2362,-40,-59,-37,23612,23718,-784,52,-55,34,8848,8116,-7752,20,76,18
32767,32632,2388,-38,-69,-32,23810,23718,-774,55,-44,37,8738,8150,-7664,12,75,16
32767,32714,2456,-15,-66,-29,23782,23724,-838,49,-29,38,8748,8146,-7626,15,60,19
32767,32676,2498,-13,-78,-24,23724,23824,-774,42,-24,37,8922,8184,-7780,28,65,29
32767,32568,2474,-41,-73,-31,23570,23866,-732,13,-25,34,8850,8132,-7730,25,84,25
32767,32310,2668,-49,-63,-38,23604,23820,-738,-5,-23,30,8778,8128,-7662,19,93,13
32767,32356,2544,-8,-56,-42,23612,23670,-764,-19,-29,32,8732,8206,-7666,20,80,12
32767,32498,2390,17,-59,-42,23616,23452,-704,15,-34,25,8778,8170,-7678,18,62,17
32767,32766,2462,13,-51,-24,23576,23480,-836,43,-46,24,8896,8182,-7674,20,60,22
32767,32767,2538,-32,-64,-33,23644,23650,-750,64,-43,29,8872,8168,-7770,13,67,18
32767,32612,2536,-70,-73,-22,23748,23860,-834,81,-38,44,8834,8164,-7748,4,71,5
32767,32426,2586,-67,-64,-23,23664,23934,-876,53,-25,53,8784,8232,-7824,-2,68,3
32767,32212,2548,-47,-59,-1,23596,24050,-894,50,-29,56,8800,8232,-7780,-10,65,8
32767,32124,2678,-18,-44,-2,23632,24106,-874,50,-38,50,8764,8186,-7764,-17,66,7
32767,32356,2628,16,-41,-4,23674,24176,-870,15,-38,50,8738,8060,-7682,-28,61,-6
32767,32632,2464,19,-35,9,23800,24134,-860,-19,-35,63,8684,8032,-7660,-21,50,-15
32767,32688,2576,-9,-43,9,23864,24082,-910,-54,-30,63,8712,8012,-7762,20,32,-15
32767,32612,2578,-13,-42,21,23848,24058,-852,-83,-27,57,8774,8016,-7872,61,31,-9
32767,32674,2616,-1,-37,24,23754,24054,-836,-103,-15,61,8824,8080,-7826,78,44,1
32767,32767,2588,-7,-29,27,23750,23908,-964,-94,-19,65,8852,8158,-7820,58,56,-5
32767,32767,2622,-10,-17,35,23664,23946,-856,-75,-26,62,8902,8204,-7742,39,49,-11
32767,32767,2698,-15,-13,44,23832,24128,-942,-40,-29,72,8812,8370,-7898,28,42,-11
32767,32767,2634,-53,-23,55,23748,24284,-842,-55,-31,88,8776,8486,-7826,-3,46,-7
32767,32767,2564,-122,-32,67,23774,24354,-798,-94,-28,63,8804,8464,-7846,-58,51,-9
32767,32638,2474,-166,-35,95,23916,24344,-942,-118,-24,68,8810,8278,-8006,-96,51,-13
32767,32418,2646,-130,-31,96,23884,24122,-930,-147,-20,84,8914,8198,-8040,-105,57,-15
32767,32767,2506,-77,-11,124,23818,23994,-742,-143,-20,76,8836,8170,-8046,-103,63,-16
32767,32767,2634,-62,-10,96,23846,24046,-894,-106,-22,94,8784,8164,-7842,-101,72,-10
32767,32767,2696,-76,-32,87,23666,24076,-750,-90,-35,102,8686,8070,-7836,-98,63,-11
32767,32767,2530,-122,-25,115,23932,24184,-782,-67,-47,84,8722,8052,-7734,-86,47,-10
32767,32767,2486,-150,-27,108,24110,24344,-934,-61,-29,108,8810,8008,-7886,-61,33,-3
32767,32566,2460,-148,-31,131,23978,24368,-784,-91,-14,101,8852,7994,-7982,-28,27,5
32767,32767,2552,-112,-21,174,23876,24382,-1034,-91,-3,95,8808,8140,-8090,1,37,12
32767,32767,2714,-85,-23,135,23652,24282,-720,-148,-5,83,8822,8230,-8010,1,47,15
32767,32767,2614,-146,-22,124,23776,24264,-924,-128,-12,126,8794,8356,-7922,-11,51,20
32767,32767,2592,-143,-10,155,23722,24278,-698,-165,-23,125,8734,8448,-7780,-35,51,29
32767,32767,2532,-134,-22,120,23862,24320,-966,-123,-27,119,8728,8428,-7906,-58,47,33
32767,32767,2404,-109,-20,149,23882,24308,-970,-156,-26,130,8804,8342,-7936,-83,47,36
32767,32767,2318,-84,-38,121,23758,24212,-918,-136,-17,124,8972,8216,-7970,-125,52,26
32767,32767,2512,-103,-42,171,23698,24074,-942,-161,-30,110,8872,8154,-8020,-153,72,16
32767,32767,2588,-110,-15,207,23970,24084,-928,-142,-30,102,8748,8102,-8016,-164,86,10
32767,32767,2630,-133,-29,173,24024,24046,-992,-128,-14,106,8660,8106,-7980,-161,78,17
32767,32767,2536,-186,-8,183,23724,23922,-758,-163,-1,85,8744,8164,-8020,-160,67,23
32767,32708,2532,-165,-17,218,23628,23840,-826,-147,-4,65,8810,8010,-8086,-145,70,25
32767,32767,2474,-176,1,237,23726,23818,-994,-121,-10,75,8816,7944,-8110,-119,78,23
32767,32767,2526,-186,-18,155,23498,23706,-624,-109,-18,67,8784,7930,-8098,-104,85,18
32767,32767,2324,-164,-16,164,23760,23952,-768,-76,-30,55,8674,8000,-8064,-90,86,18
32767,32722,2466,-135,-4,175,23920,24162,-860,-94,-18,70,8588,8056,-7954,-70,73,24
32767,32606,2350,-164,-42,125,23770,24194,-828,-123,-2,67,8690,8042,-7964,-70,56,24
32767,32342,2430,-200,-48,124,23568,24000,-772,-152,-10,49,8738,7990,-8078,-87,59,16
32767,32070,2458,-129,-48,171,23742,24056,-756,-163,-20,23,8698,7908,-8090,-86,74,10
32767,32516,2600,-115,-52,113,23874,23912,-840,-128,-22,29,8612,7886,-8022,-89,70,-7
32767,32767,2446,-144,-35,131,23690,23898,-706,-128,-19,31,8566,7952,-7948,-103,60,-17
32767,32767,2520,-144,-29,113,23650,23968,-810,-67,-45,26,8594,8030,-8086,-99,46,-19
32767,32767,2500,-177,-28,114,23808,24108,-786,-88,-46,12,8702,8050,-8048,-76,36,-14
32767,32610,2548,-212,-39,114,23850,24136,-926,-86,-42,25,8746,8068,-8146,-78,44,-14
32767,32656,2498,-208,-42,123,23856,24212,-876,-110,-34,27,8736,8052,-8168,-98,50,-19
32767,32294,2528,-155,-22,136,23794,24156,-984,-157,-11,25,8706,7926,-8284,-104,51,-23
32767,32767,2564,-131,-15,122,23538,23774,-962,-183,-9,10,8698,7848,-8162,-82,40,-24
32767,32572,2734,-127,-16,73,23692,23790,-796,-163,-25,0,8660,7940,-8232,-51,40,-21
32767,32767,2674,-142,-32,79,24080,23916,-1010,-138,-21,11,8608,7836,-8074,-54,42,-24
32767,32767,2580,-171,-15,77,23896,24004,-922,-115,-19,23,8538,7770,-8016,-67,37,-35
32767,32767,2394,-165,-13,68,23620,24050,-826,-119,-32,4,8574,7822,-8126,-58,22,-44
32767,32767,2258,-173,-12,77,23814,24106,-866,-104,-43,-6,8732,7810,-8188,-46,13,-50
32767,32767,2314,-205,-19,98,24074,24016,-704,-111,-44,-7,8846,7874,-8276,-49,25,-55
32767,32686,2300,-218,-22,129,23924,23848,-700,-126,-27,-21,8812,7826,-8266,-71,50,-63
32767,32538,2254,-209,-18,156,23588,23746,-802,-127,-34,-21,8836,7838,-8310,-97,58,-75
32767,32514,2290,-174,-8,182,23500,23714,-632,-129,-39,-13,8734,7874,-8256,-95,56,-75
32767,32767,2464,-175,-29,104,23642,23704,-756,-114,-46,-11,8718,7890,-8286,-75,54,-66
32767,32767,2456,-205,-34,84,23786,23656,-710,-107,-55,-19,8684,7880,-8250,-73,61,-68
32767,32524,2492,-198,-29,82,23938,23682,-746,-120,-48,-30,8648,7820,-8102,-81,51,-68
32767,32534,2498,-168,-42,59,23784,23632,-700,-123,-38,-40,8644,7736,-8074,-69,42,-66
32767,32544,2374,-152,-47,50,23726,23526,-656,-118,-40,-46,8606,7594,-8008,-64,31,-81
32767,32638,2478,-138,-46,52,23776,23542,-640,-57,-60,-51,8720,7526,-8012,-54,29,-105
32767,32767,2590,-147,-47,52,23908,23532,-540,-29,-60,-58,8704,7482,-8068,-51,48,-119
32767,32750,2544,-204,-42,50,23994,23570,-504,-8,-65,-70,8626,7488,-8158,-57,58,-118
32767,32404,2460,-222,-39,46,24014,23790,-470,0,-65,-95,8610,7516,-8170,-59,44,-116
32767,32344,2498,-206,-45,45,23834,23834,-614,16,-62,-97,8692,7574,-8134,-41,30,-115
32767,32092,2436,-200,-46,37,23888,23774,-392,-2,-73,-109,8770,7696,-8172,-25,33,-114
32767,32044,2424,-163,-49,33,24016,23668,-354,-16,-68,-138,8768,7630,-8236,-37,44,-108
32767,32054,2518,-110,-49,30,23920,23598,-406,-24,-58,-155,8626,7490,-8286,-58,49,-102
32767,32206,2578,-79,-41,7,23842,23346,-452,33,-64,-148,8522,7432,-8214,-44,42,-98
32767,32204,2546,-88,-49,-32,23986,23420,-300,62,-78,-172,8504,7310,-8204,-3,23,-85
32767,32190,2626,-68,-60,-24,23910,23642,-398,105,-63,-173,8550,7408,-8116,45,3,-62
32767,32368,2686,-45,-68,-69,23730,23858,-288,76,-58,-166,8542,7444,-8174,77,-13,-43
32767,32272,2580,-68,-86,-88,23706,23784,-554,97,-74,-149,8520,7490,-8138,80,-15,-44
32767,32106,2550,-112,-85,-151,23660,23798,-418,71,-95,-158,8542,7514,-8096,80,-29,-42
32767,31716,2534,-80,-80,-115,23808,23988,-580,69,-99,-145,8568,7458,-8092,94,-43,-22
32767,31708,2528,-14,-79,-156,23906,23872,-694,76,-97,-125,8584,7516,-8106,108,-48,-6
32767,32028,2656,-36,-82,-141,24076,23740,-750,38,-85,-161,8558,7600,-8090,108,-53,5
32767,32322,2688,-22,-72,-190,23946,23674,-866,36,-66,-160,8568,7546,-8028,88,-67,6
32767,32560,2936,-27,-64,-136,23790,23428,-752,28,-72,-153,8702,7520,-7948,81,-70,3
32767,32767,2790,-15,-33,-230,23830,23402,-782,93,-77,-153,8726,7542,-8102,73,-60,5
32767,32124,2800,0,-30,-159,23754,23614,-744,120,-85,-140,8592,7612,-8134,53,-49,7
