ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,31734,2102,-56,-33,14,23558,23524,-1044,-34,-43,-14,9208,9172,-7026,-39,22,-4
32767,32056,2120,-87,-52,4,23538,23480,-1112,-24,-34,-18,9190,9212,-6944,-39,20,-3
32767,31872,1968,-126,-50,5,23342,23622,-1082,-27,-39,-13,9150,9262,-6924,-16,9,6
32767,31562,2018,-96,-35,12,23308,23692,-1062,-31,-49,-8,9252,9312,-6976,17,-2,17
32767,31730,2020,-49,-24,14,23380,23674,-916,-29,-57,-6,9406,9354,-7080,18,1,19
32767,31938,1896,-54,-25,10,23504,23626,-994,-24,-54,-9,9360,9352,-7140,0,11,9
32767,31908,1914,-81,-38,6,23450,23542,-1084,-31,-45,-7,9330,9354,-7116,-30,27,1
32767,31898,1896,-101,-45,4,23424,23426,-1084,-30,-42,-11,9212,9300,-7124,-54,44,0
32767,31804,2102,-101,-45,4,23392,23468,-1022,-27,-46,-17,9098,9294,-6992,-61,40,8
32767,31758,2154,-67,-34,5,23342,23536,-1016,-23,-59,-16,9114,9236,-6926,-48,13,18
32767,31782,2098,-58,-32,4,23434,23544,-1022,-23,-64,-12,9264,9210,-6954,-29,-4,16
32767,31940,2066,-60,-24,2,23482,23514,-1074,-11,-62,-9,9334,9160,-7058,-9,4,10
32767,31838,1976,-76,-22,4,23418,23574,-1060,-1,-58,-8,9360,9180,-7112,-6,13,10
32767,31682,2000,-90,-32,2,23468,23588,-1062,8,-59,-8,9334,9212,-7202,-13,18,5
32767,31598,1954,-89,-35,2,23390,23702,-1054,7,-59,-13,9208,9234,-7058,-23,19,2
32767,31630,2094,-69,-33,0,23430,23700,-1028,-3,-61,-8,9154,9256,-7032,-25,13,8
32767,31756,2032,-60,-28,4,23438,23554,-1048,3,-66,-2,9208,9260,-6942,-13,0,19
32767,31874,1982,-64,-25,5,23496,23500,-1078,3,-73,-3,9290,9170,-7058,10,-9,26
32767,31844,1996,-65,-28,5,23604,23514,-1092,2,-67,2,9330,9178,-7164,23,-7,32
32767,31852,1866,-77,-30,2,23606,23476,-1180,2,-53,-1,9294,9250,-7008,26,11,30
32767,31684,2016,-79,-29,1,23422,23526,-1092,-3,-45,-12,9302,9280,-6936,28,9,28
32767,31748,1990,-53,-21,-1,23404,23592,-1048,-12,-49,-12,9318,9316,-6900,30,2,29
32767,31822,2126,-34,-14,4,23432,23656,-912,-33,-55,-11,9338,9380,-6864,22,11,25
32767,31928,2034,-43,-15,1,23474,23702,-918,-36,-55,-2,9260,9396,-6888,15,16,20
32767,31738,1874,-55,-17,2,23454,23640,-994,-34,-55,-4,9262,9362,-6970,17,9,19
32767,31642,1628,-46,-22,7,23606,23580,-1100,-16,-46,-10,9368,9378,-6968,8,15,12
32767,31698,1938,-38,-39,5,23582,23678,-1074,-10,-33,-16,9352,9282,-6994,-20,35,-4
32767,31918,2026,-62,-49,1,23538,23758,-976,-15,-25,-15,9168,9396,-6906,-37,43,-12
32767,31894,2170,-84,-47,6,23384,23908,-1008,-27,-29,-11,9190,9464,-6952,-32,32,-5
32767,31764,2206,-82,-39,10,23410,23848,-878,-72,-37,-8,9220,9506,-6986,-28,27,1
32767,31710,1974,-63,-30,14,23570,23612,-984,-89,-33,-3,9310,9498,-6918,-24,24,-1
32767,31686,1858,-52,-25,14,23584,23442,-1082,-89,-22,-11,9382,9460,-7056,-23,25,-10
32767,31842,1802,-48,-33,12,23494,23346,-1040,-74,-7,-24,9406,9478,-7014,-41,40,-16
32767,32050,1942,-65,-44,11,23314,23406,-960,-81,-5,-32,9330,9394,-7068,-68,68,-20
32767,31946,2176,-103,-53,5,23160,23388,-884,-81,-17,-28,9118,9406,-6918,-93,70,-23
32767,31818,2142,-79,-41,6,23138,23350,-838,-57,-41,-19,9034,9416,-6886,-106,45,-18
32767,31864,2040,-56,-31,11,23320,23338,-846,-38,-60,-14,9262,9394,-7002,-84,17,-3
32767,31934,1976,-81,-36,8,23478,23556,-1024,-19,-60,-14,9362,9210,-7060,-84,24,-6
32767,31638,1838,-129,-54,-4,23474,23652,-1048,-18,-51,-18,9268,9050,-7254,-114,40,-21
32767,31480,1904,-127,-61,-4,23400,23650,-1092,-27,-47,-28,9076,8894,-7112,-122,44,-27
32767,31480,2242,-89,-45,8,23368,23638,-1088,-35,-51,-22,8996,8904,-7058,-96,30,-17
32767,31754,2460,-60,-28,12,23468,23466,-1086,-34,-57,-11,9004,9018,-6958,-58,3,-2
32767,31828,2398,-79,-13,14,23536,23454,-1202,-20,-55,-12,9086,9082,-6944,-10,-23,12
32767,31724,2060,-92,-9,13,23496,23538,-1202,-27,-49,-4,9286,9070,-6896,39,-37,25
32767,31774,1998,-127,-23,4,23504,23494,-1214,-25,-51,-2,9504,9168,-7044,51,-17,22
32767,31558,2002,-134,-32,0,23602,23478,-1182,-26,-40,-16,9400,9338,-7156,25,6,10
32767,31656,1892,-64,-30,1,23444,23532,-1154,-36,-30,-11,9298,9456,-7048,2,13,7
32767,32030,1876,-53,-18,-2,23454,23566,-1090,-40,-33,-8,9318,9504,-7002,-31,11,9
32767,32010,1948,-91,-17,-5,23502,23588,-1042,-47,-34,-15,9304,9384,-6892,-82,15,7
32767,31814,1862,-101,-23,0,23362,23614,-920,-46,-33,-12,9442,9254,-7014,-102,24,9
32767,31598,1740,-83,-23,6,23334,23514,-988,-48,-38,-4,9366,9084,-6960,-85,36,8
32767,31744,1744,-76,-33,4,23374,23512,-976,-38,-42,-1,9252,9012,-7014,-60,41,-2
32767,31810,1850,-82,-44,8,23432,23516,-956,-30,-39,-2,9230,9074,-6996,-23,30,-4
32767,31754,1782,-82,-54,9,23442,23442,-956,-31,-37,-6,9238,9146,-7014,0,29,7
32767,31710,1950,-73,-53,11,23472,23472,-894,-28,-42,-5,9182,9184,-6922,9,29,11
32767,31776,2080,-66,-43,8,23406,23588,-812,-31,-45,-9,9064,9244,-6896,14,25,8
32767,32002,2162,-79,-45,7,23462,23742,-842,-41,-45,-3,9122,9332,-7030,19,8,9
32767,31766,2118,-102,-46,4,23418,23782,-982,-57,-42,12,9274,9424,-7004,13,-4,10
32767,31596,1960,-97,-42,9,23390,23696,-980,-82,-45,4,9340,9430,-6944,-10,6,4
32767,31536,2034,-63,-29,18,23402,23540,-1128,-115,-30,-12,9202,9440,-6852,-32,22,1
32767,31544,2184,-42,-33,20,23416,23302,-1230,-130,-13,-22,9078,9420,-6778,-55,21,3
32767,31818,2186,-39,-45,17,23480,23154,-1066,-107,-13,-24,9046,9358,-6734,-67,10,2
32767,32006,2288,-43,-47,21,23468,23228,-946,-73,-13,-24,9252,9386,-6872,-75,10,-3
32767,32336,2302,-72,-40,12,23232,23494,-876,-50,-20,-18,9208,9420,-6886,-74,24,-8
32767,32020,2050,-142,-41,0,23226,23654,-880,-51,-42,-13,9350,9362,-6906,-100,25,-16
32767,31448,1728,-181,-35,-3,23272,23580,-1058,-67,-60,-10,9384,9220,-7020,-137,19,-21
32767,31328,1712,-154,-32,-1,23366,23322,-1298,-74,-70,-5,9350,9088,-7106,-146,25,-15
32767,31500,1838,-107,-28,15,23460,23108,-1454,-62,-66,-6,9192,9062,-7204,-133,26,-10
32767,31724,1922,-101,-32,18,23620,23078,-1348,-9,-51,-15,9206,9004,-7086,-130,2,-4
32767,32000,2220,-134,-34,13,23640,23204,-1262,23,-39,-16,9372,8842,-6958,-115,0,9
32767,31698,2390,-179,-27,6,23372,23430,-1000,35,-39,-9,9320,8744,-7016,-79,11,16
32767,31436,2266,-146,-7,3,23212,23602,-784,37,-51,2,9370,8652,-6966,-20,4,14
32767,31522,1986,-96,8,1,23282,23694,-746,36,-68,9,9424,8720,-6950,32,-12,14
32767,31560,1532,-97,6,-1,23336,23786,-676,17,-63,8,9604,8920,-6864,64,-7,9
32767,31310,1370,-99,-12,2,23384,23674,-750,-5,-59,-2,9538,9186,-6894,81,18,9
32767,31310,1248,-46,-31,11,23346,23500,-824,-30,-56,-16,9322,9394,-6888,80,43,10
32767,31428,1564,-2,-29,28,23444,23268,-816,-36,-59,-18,9054,9416,-6912,35,46,10
32767,31618,1854,34,-10,36,23544,23248,-944,-17,-55,-10,8960,9468,-6836,-2,41,10
32767,31766,2154,56,8,45,23398,23220,-1066,12,-53,-2,8934,9446,-6786,-17,30,16
32767,31908,2382,72,25,37,23398,23380,-1122,23,-56,2,9124,9420,-6702,-13,14,29
32767,31958,2378,36,20,19,23442,23572,-1260,12,-55,-3,9288,9296,-6738,-20,8,31
32767,31872,2322,-16,1,2,23504,23700,-1210,-42,-50,-14,9374,9098,-6732,-30,11,19
32767,31780,2222,-57,-9,1,23542,23516,-1222,-67,-46,-21,9294,9072,-6916,-26,13,10
32767,31656,2018,-73,-8,4,23570,23334,-1246,-71,-49,-15,9264,9110,-7020,-7,11,6
32767,31698,1950,-56,2,8,23522,23234,-1160,-42,-45,-8,9328,9180,-7034,1,8,1
32767,31802,1856,-48,7,10,23462,23398,-1152,-7,-42,-1,9378,9226,-7110,-21,12,-7
32767,31800,1766,-64,-1,7,23392,23534,-1144,12,-36,9,9382,9118,-7020,-36,13,-7
32767,31936,1710,-107,-22,3,23462,23702,-1056,9,-40,6,9540,9046,-7004,-34,18,-2
32767,31638,1660,-149,-37,7,23506,23764,-960,-25,-40,-2,9444,9056,-6984,-17,31,7
32767,31338,1672,-119,-39,11,23366,23524,-1002,-53,-43,-3,9286,9066,-6944,11,42,7
32767,31596,1764,-60,-42,10,23390,23320,-850,-45,-54,-7,9228,9148,-6834,35,39,1
32767,31958,1676,-46,-48,13,23560,23288,-1030,-18,-55,-5,9208,9254,-6958,43,29,-1
32767,31962,1582,-80,-58,12,23462,23304,-1092,3,-40,3,9418,9278,-6968,38,23,3
32767,31720,1722,-90,-67,10,23160,23372,-1212,8,-48,9,9334,9398,-7098,20,47,4
32767,31700,1860,-77,-65,7,23220,23372,-1154,-10,-63,3,9242,9458,-7012,-15,57,0
32767,31632,2002,-50,-51,11,23490,23378,-1122,-25,-68,-1,9330,9404,-6840,-58,57,1
32767,31570,2084,-27,-48,11,23470,23280,-1010,-27,-58,0,9302,9252,-6976,-90,58,8
32767,31860,1984,-12,-49,13,23460,23318,-1020,-6,-58,0,9238,8996,-7086,-85,55,11
32767,31868,1886,-36,-43,13,23450,23496,-1008,16,-61,1,9276,8838,-7098,-59,51,5
32767,31780,1996,-54,-38,9,23398,23600,-936,18,-61,1,9288,8786,-7168,-46,52,-8
32767,31672,1996,-58,-46,2,23328,23710,-974,10,-62,6,9268,8844,-7086,-36,54,-13
32767,31600,1920,-56,-51,7,23290,23662,-1024,-1,-68,11,9294,8936,-7038,-2,39,-5
32767,31500,1846,-41,-57,14,23504,23630,-962,1,-67,15,9244,8988,-7002,41,29,5
32767,31576,1814,-19,-62,22,23688,23658,-866,4,-64,8,9214,9122,-7034,77,25,11
32767,31718,1802,-17,-65,27,23414,23658,-852,-23,-67,13,9142,9162,-7072,93,23,15
32767,31996,1950,-28,-74,17,23318,23574,-754,-25,-84,17,9154,9158,-7042,94,24,17
32767,32012,2014,-84,-72,12,23360,23470,-796,-20,-93,18,9134,9246,-7034,82,23,16
32767,31658,2134,-80,-64,16,23372,23426,-874,-15,-91,23,9236,9342,-7036,71,13,16
32767,31822,2044,-14,-56,19,23514,23414,-1066,-10,-83,24,9390,9472,-6964,58,8,23
32767,32054,1932,-17,-56,21,23556,23442,-998,-16,-80,15,9366,9506,-6972,24,28,29
32767,32016,1926,-47,-58,16,23644,23462,-1120,-18,-72,5,9202,9442,-6970,-5,51,22
32767,31806,2220,-54,-38,18,23622,23406,-1072,-23,-66,-1,9022,9342,-6938,-29,52,12
32767,31738,2364,-22,-21,19,23550,23494,-976,-18,-69,2,9084,9274,-6982,-41,38,1
32767,31992,2244,-9,-9,16,23522,23552,-938,-12,-69,13,9174,9142,-7022,-51,25,-8
32767,31930,2084,-36,-3,15,23456,23636,-862,4,-72,21,9364,9130,-7068,-49,22,-9
32767,31864,1898,-56,-10,15,23428,23704,-954,10,-85,24,9386,9088,-7072,-38,32,-3
32767,31764,1844,-88,-23,21,23478,23692,-962,8,-98,24,9396,9092,-7062,-25,40,-2
32767,31430,1864,-84,-41,26,23530,23546,-1014,11,-108,26,9270,9114,-7088,-13,52,-11
32767,31708,1786,-54,-51,25,23666,23490,-976,18,-111,27,9186,9120,-7014,-9,60,-14
32767,31910,1872,-48,-47,26,23842,23518,-1018,38,-102,25,9210,9146,-7098,4,49,-11
32767,32032,1944,-49,-42,31,23696,23750,-1096,53,-89,18,9300,9172,-7224,22,41,-6
32767,32010,2108,-42,-41,36,23512,23832,-922,60,-95,23,9422,9192,-7330,32,53,-6
32767,32024,2156,-49,-39,30,23648,23952,-922,70,-101,18,9380,9252,-7210,32,69,-17
32767,31794,2180,-47,-29,30,23684,23918,-892,76,-93,16,9314,9320,-7248,29,75,-28
32767,31848,1862,-2,-21,28,23652,23874,-908,85,-89,21,9276,9398,-7100,23,66,-29
32767,31942,1706,5,-20,29,23618,23850,-942,98,-96,21,9218,9368,-7266,16,54,-16
32767,32036,1668,-13,-31,30,23648,23960,-836,102,-103,24,9160,9188,-7242,28,64,-10
32767,31988,1916,-27,-40,28,23772,23950,-790,90,-97,29,9086,9216,-7174,48,72,-7
32767,31952,1916,-24,-50,22,23776,23870,-812,85,-90,34,9106,9220,-7202,71,65,-2
32767,31952,1890,6,-49,24,23768,23798,-866,75,-90,29,9234,9300,-7178,100,57,-4
32767,31940,1848,38,-44,19,23652,23746,-836,70,-87,24,9348,9292,-7134,126,60,-9
32767,32080,1896,80,-33,15,23644,23780,-766,66,-87,26,9286,9354,-7166,132,83,-16
32767,32398,2080,83,-27,9,23738,23998,-734,52,-82,27,9162,9404,-7114,122,98,-23
32767,32504,2084,39,-33,8,23754,24060,-846,41,-77,27,9160,9418,-7168,107,89,-32
32767,32206,1980,18,-31,9,23750,23980,-826,25,-74,27,9240,9402,-7244,94,83,-42
32767,32126,2022,40,-31,5,23740,23924,-946,15,-70,25,9256,9386,-7320,75,102,-55
32767,32190,1900,48,-32,4,23870,23802,-892,19,-64,22,9136,9316,-7288,45,118,-74
32767,32068,1884,45,-29,15,23938,23842,-886,37,-54,19,9062,9248,-7302,20,119,-89
32767,32174,1958,56,-30,20,23828,23962,-982,55,-34,24,9106,9200,-7306,8,111,-93
32767,32450,2032,25,-30,20,23510,24230,-904,57,-37,39,9024,9140,-7362,4,110,-94
32767,32462,2160,-18,-38,19,23638,24250,-798,53,-66,69,9074,9092,-7368,3,112,-93
32767,32290,2066,-63,-50,15,23778,24166,-684,57,-76,75,9064,9022,-7426,10,107,-97
32767,32038,2056,-59,-48,18,23810,24224,-854,70,-81,60,9086,9012,-7482,28,92,-102
32767,31896,1800,-13,-47,26,23752,24350,-1034,68,-71,55,8964,9014,-7492,42,83,-106
32767,32166,1740,26,-48,30,23716,24154,-1034,86,-46,79,8964,8954,-7490,56,61,-114
32767,32610,1752,0,-57,25,23696,23996,-980,117,-50,117,9036,8862,-7622,54,38,-127
32767,32608,1998,-63,-68,30,23856,24166,-968,155,-89,119,9172,8810,-7746,60,47,-136
32767,32482,2156,-78,-69,36,24054,24596,-924,187,-99,101,9094,8870,-7784,83,81,-143
32767,32392,2336,-41,-58,35,24046,24616,-1126,170,-94,85,8896,9138,-7612,99,106,-135
32767,32412,2418,-6,-47,26,23786,24536,-1142,164,-102,59,8832,9286,-7396,81,84,-126
32767,32506,2200,-24,-55,13,23840,24418,-1206,165,-106,32,9210,8930,-7692,46,48,-127
32767,32620,2094,-61,-76,8,24224,24428,-1360,189,-75,24,9572,8628,-7884,37,80,-152
32767,32410,2118,-65,-93,5,24102,24660,-1192,177,-38,32,9526,8782,-7978,54,156,-160
32767,32576,2024,-20,-111,9,23834,24692,-1024,150,-17,58,9124,9054,-8002,50,207,-141
32767,32767,1984,-14,-101,-4,23720,24902,-754,114,-45,71,8822,9088,-8022,26,216,-118
32767,32404,2018,-41,-67,-5,23992,25032,-558,53,-59,55,8640,9016,-7982,10,202,-103
