gravity_test
Module: E0:5A:1B:76:51:80 (05)
t(us),ax,ay,az,gx,gy,gz,y,p,r
1324740,32767,19388,6272,-24,-45,-9,-0.542023,0.977639,1.046447
1340365,32767,19398,6280,-24,-45,-9,-0.545075,0.978719,1.050533
1355990,32767,19452,6308,-24,-46,-10,-0.551051,0.980616,1.058434
1371616,32767,19460,6288,-24,-45,-10,-0.553930,0.981524,1.062507
1387243,32767,19432,6300,-24,-45,-10,-0.562427,0.984148,1.073693
1402869,32767,19434,6268,-25,-44,-10,-0.565039,0.984840,1.077474
1418495,32767,19430,6268,-24,-45,-9,-0.567792,0.985651,1.081074
1434121,32767,19414,6234,-24,-45,-9,-0.573094,0.987285,1.088039
1449748,32767,19454,6296,-25,-44,-9,-0.575613,0.987973,1.091433
1465373,32767,19474,6274,-25,-44,-10,-0.580652,0.989389,1.098107
1480998,32767,19442,6336,-24,-45,-9,-0.583013,0.990048,1.101436
1496624,32767,19424,6282,-23,-46,-11,-0.587621,0.991301,1.107789
1512250,32767,19428,6310,-25,-44,-10,-0.592236,0.992473,1.114097
1527876,32767,19444,6296,-25,-45,-9,-0.594499,0.993134,1.117036
1543503,32767,19402,6278,-25,-44,-9,-0.598797,0.994281,1.122826
1559129,32767,19472,6242,-25,-45,-10,-0.600830,0.994768,1.125676
1574755,32767,19418,6262,-24,-44,-10,-0.604929,0.995805,1.131297
1590381,32767,19442,6320,-24,-45,-10,-0.606897,0.996266,1.133912
1606006,32767,19432,6348,-25,-44,-9,-0.610916,0.997252,1.139270
1621632,32767,19444,6338,-24,-43,-10,-0.612735,0.997750,1.141880
1637258,32767,19374,6276,-24,-44,-9,-0.618034,0.998948,1.149319
1652884,32767,19426,6326,-25,-43,-9,-0.619792,0.999423,1.151696
1668509,32767,19396,6226,-24,-44,-10,-0.621495,0.999822,1.153961
1684136,32767,19392,6218,-25,-44,-10,-0.625005,1.000621,1.158750
1699762,32767,19420,6334,-24,-44,-10,-0.626488,1.000988,1.160889
1715387,32767,19476,6298,-24,-44,-9,-0.629547,1.001665,1.165355
1731014,32767,19416,6244,-24,-44,-10,-0.630958,1.002016,1.167254
1746639,32767,19412,6324,-24,-44,-10,-0.634209,1.002750,1.171693
1762266,32767,19466,6232,-24,-44,-10,-0.637091,1.003373,1.175638
1777892,32767,19450,6304,-24,-45,-9,-0.638391,1.003576,1.177721
1793518,32767,19408,6274,-24,-45,-9,-0.641055,1.004163,1.181542
1809145,32767,19408,6290,-25,-45,-9,-0.642259,1.004475,1.183322
1824772,32767,19398,6352,-24,-43,-9,-0.644862,1.005045,1.186905
1840397,32767,19414,6328,-24,-44,-9,-0.646076,1.005351,1.188690
1856024,32767,19428,6318,-25,-44,-10,-0.648392,1.005820,1.192025
1871649,32767,19392,6278,-26,-45,-10,-0.649555,1.006051,1.193695
1887275,32767,19398,6198,-25,-44,-10,-0.652944,1.006796,1.198746
1902901,32767,19438,6258,-24,-46,-9,-0.653806,1.006931,1.200159
1918527,32767,19398,6266,-24,-45,-8,-0.654985,1.007155,1.201836
1934153,32767,19498,6302,-23,-44,-9,-0.657079,1.007642,1.204926
1949779,32767,19484,6356,-25,-45,-9,-0.657929,1.007838,1.206216
1965406,32767,19390,6294,-25,-44,-10,-0.659977,1.008249,1.209191
1981033,32767,19426,6262,-25,-43,-10,-0.660856,1.008376,1.210611
1996660,32767,19424,6196,-25,-44,-10,-0.662579,1.008758,1.213202
2024242,32767,19398,6292,-24,-44,-10,-0.662579,1.008758,1.213202
2039869,32767,19414,6268,-24,-44,-10,-0.665814,1.009423,1.218377
2055495,32767,19430,6304,-24,-44,-10,-0.667079,1.009630,1.220749
2071122,32767,19436,6264,-24,-43,-10,-0.667695,1.009794,1.221908
2086749,32767,19352,6298,-24,-45,-10,-0.669131,1.010071,1.224246
2102376,32767,19394,6294,-25,-45,-9,-0.669933,1.010252,1.225301
2118003,32767,19428,6246,-26,-44,-9,-0.671117,1.010505,1.227500
2133629,32767,19438,6304,-25,-43,-9,-0.672552,1.010840,1.229721
2149256,32767,19420,6270,-25,-44,-9,-0.672552,1.010840,1.229721
2164882,32767,19402,6302,-24,-44,-9,-0.674233,1.011178,1.232716
2180508,32767,19460,6222,-25,-45,-8,-0.674783,1.011333,1.233633
2196135,32767,19434,6276,-24,-45,-9,-0.675907,1.011576,1.235592
2211762,32767,19464,6262,-24,-44,-10,-0.676211,1.011644,1.236489
2227388,32767,19438,6322,-25,-45,-9,-0.677279,1.011818,1.238324
2243013,32767,19408,6224,-25,-44,-10,-0.677899,1.011962,1.239927
2258640,32767,19422,6276,-24,-45,-10,-0.678207,1.012028,1.240826
2274266,32767,19430,6286,-24,-45,-9,-0.678995,1.012245,1.242397
2289892,32767,19448,6304,-23,-45,-9,-0.679578,1.012327,1.243441
2305518,32767,19484,6270,-25,-44,-10,-0.680308,1.012477,1.244887
2321144,32767,19418,6276,-23,-45,-9,-0.680537,1.012543,1.245538
2336771,32767,19452,6230,-24,-45,-9,-0.681080,1.012669,1.247090
2352398,32767,19426,6306,-25,-44,-9,-0.681882,1.012879,1.248666
2368024,32767,19406,6298,-25,-44,-10,-0.682115,1.012943,1.249318
2383651,32767,19410,6320,-24,-45,-10,-0.682561,1.013137,1.250503
2399278,32767,19444,6320,-25,-44,-9,-0.682630,1.013123,1.251188
2414905,32767,19428,6308,-24,-45,-10,-0.683034,1.013184,1.252365
2430530,32767,19436,6248,-25,-45,-9,-0.683434,1.013322,1.252986
2446157,32767,19456,6318,-24,-44,-10,-0.683442,1.013419,1.254059
2461784,32767,19468,6224,-25,-45,-9,-0.683678,1.013480,1.254713
2477411,32767,19436,6296,-24,-45,-10,-0.684151,1.013600,1.256020
2493037,32767,19408,6350,-24,-45,-9,-0.684261,1.013708,1.256934
2508663,32767,19428,6300,-25,-44,-9,-0.684261,1.013708,1.256934
2524290,32767,19406,6296,-25,-45,-10,-0.684610,1.013873,1.258503
2539916,32767,19410,6280,-24,-44,-11,-0.684784,1.013868,1.259028
2555542,32767,19428,6224,-25,-45,-8,-0.684981,1.013968,1.260192
