ax,ay,az,gx,gy,gz
32767,20538,6354,-71,-4,-13
32767,20362,6426,-50,-36,-11
32767,20446,6532,-37,-68,-15
32767,20382,6332,-20,-95,-12
32767,20472,5918,0,-96,2
32767,20498,5644,3,-63,13
32767,20446,5694,-32,-11,-2
32767,20416,6316,-81,16,-36
32767,20302,6696,-67,-16,-38
32767,20780,6310,40,-86,-4
32767,21052,5982,38,-88,17
32767,20942,5936,-51,-79,12
32767,20078,6024,-129,-42,-13
32767,19898,5996,-70,-22,-22
32767,20222,5956,20,2,-3
32767,20640,6194,45,8,17
32767,20874,6642,-24,-25,-13
32767,20528,6706,-89,-79,-30
32767,20216,6226,-63,-124,-18
32767,20454,5666,9,-112,-11
32767,20726,5408,35,-21,19
32767,20664,6176,-33,20,16
32767,20282,6528,-107,17,-11
32767,19764,6738,-122,-36,-21
32767,19644,6390,-29,-80,-31
32767,20188,5942,73,-88,-17
32767,20684,5654,78,-62,0
32767,20946,5866,-26,-20,-34
32767,20544,6084,-76,1,-33
32767,20506,6230,-27,2,-18
32767,20906,6382,15,-16,2
32767,21074,6572,-16,-57,5
32767,20752,6458,-73,-93,1
32767,20190,5968,-74,-109,0
32767,19938,5586,-25,-78,8
32767,20230,5712,-3,-1,-7
32767,20556,6262,-61,21,-34
32767,20240,6574,-106,4,-42
32767,20016,6642,-59,-43,-25
32767,20296,6280,36,-77,-20
32767,20844,5924,88,-75,-16
32767,21144,5892,61,-51,-8
32767,21064,6056,-13,-34,-13
32767,20422,6190,-103,-43,-38
32767,20112,6184,-57,-57,-24
32767,20348,6026,24,-57,6
32767,20640,5882,24,-40,14
32767,20580,6186,-62,-22,-7
32767,20162,6280,-121,-22,-24
32767,19756,6312,-95,-37,-31
32767,19850,6186,15,-47,-33
32767,20756,6044,120,-33,-20
32767,21422,6198,70,-25,-17
32767,21538,6432,-32,-40,-20
32767,20962,6472,-114,-78,-14
32767,20394,6222,-97,-102,6
32767,20258,5782,-40,-94,23
32767,20566,5540,-3,-5,21
32767,20458,6126,-89,45,6
32767,20034,6822,-133,21,-23
32767,19802,6922,-90,-51,-39
32767,19996,6588,26,-122,-26
32767,20680,5772,97,-137,-11
32767,21048,5272,58,-84,2
32767,20788,5344,-21,5,-5
32767,20542,5886,-49,66,-18
32767,20614,6928,-40,36,-21
32767,20848,6840,-55,-36,-24
32767,20640,6496,-86,-101,-5
32767,20236,5870,-53,-115,13
32767,20068,5498,17,-73,26
32767,20260,5686,43,-3,16
32767,20372,6038,-2,51,-12
32767,20806,6776,-13,-3,-23
32767,20848,6816,-32,-73,-18
32767,20636,6396,-41,-135,2
32767,20390,5822,-21,-148,2
32767,20526,5380,4,-94,-10
32767,20826,5444,1,-18,2
32767,20814,6228,-85,41,3
32767,20264,6698,-117,13,-5
32767,19756,6746,-64,-51,2
32767,20076,6496,25,-109,-2
32767,20654,6000,42,-121,-12
32767,20862,5794,-5,-89,-13
32767,20714,5736,-32,-37,-11
32767,20462,6054,-35,9,-3
32767,20480,6306,-25,13,-1
32767,20472,6630,-37,-36,-5
32767,20514,6586,-32,-90,-16
32767,20572,6052,-17,-123,-4
32767,20526,5570,0,-95,4
32767,20552,5606,16,-37,7
32767,20644,5868,-23,12,0
32767,20536,6470,-76,11,-23
32767,20420,6538,-61,-25,-11
32767,20342,6258,-1,-68,6
32767,20566,6198,26,-86,6
32767,20702,6202,1,-95,-8
32767,20722,6340,-64,-118,-21
32767,20400,6060,-85,-122,-22
32767,20188,5526,-28,-96,1
32767,20654,5280,61,5,25
32767,20906,5762,23,73,24
