ax,ay,az,gx,gy,gz
32767,20270,6044,-20,-36,3
32767,20296,6016,-24,-34,5
32767,20260,6194,-34,-39,5
32767,20274,6256,-51,-50,7
32767,20120,6232,-62,-65,4
32767,19914,6050,-35,-65,8
32767,20028,5778,5,-38,17
32767,20224,5844,-14,-8,4
32767,20206,6218,-81,-7,-6
32767,19684,6448,-107,-23,-10
32767,19508,6430,-52,-55,-17
32767,20476,5778,-36,-11,-11
32767,20214,6142,-108,7,-25
32767,19978,6384,-110,-1,-26
32767,19842,6454,-66,-29,-13
32767,20002,6338,-15,-49,-11
32767,20118,6120,-3,-52,-6
32767,20134,6150,-15,-58,-8
32767,20042,6148,-30,-62,-18
32767,20124,6082,-41,-61,-24
32767,20030,6000,-47,-54,-11
32767,19856,5958,-28,-43,1
32767,19920,5962,-16,-30,-2
32767,20028,6182,-37,-25,-11
32767,19914,6326,-67,-38,-20
32767,19786,6296,-55,-49,-21
32767,19776,5976,6,-43,-11
32767,20068,5920,22,-24,-9
32767,20304,6214,-9,-21,-17
32767,20298,6404,-59,-33,-23
32767,20044,6382,-81,-53,-16
32767,19788,6024,-49,-56,-12
32767,19924,5930,2,-46,-1
32767,20116,5888,11,-25,3
32767,20138,6348,-38,-25,-14
32767,20102,6324,-64,-39,-19
32767,19934,6278,-67,-60,-16
32767,19930,6098,-48,-67,-4
32767,19980,5982,-26,-54,4
32767,19998,5870,-21,-29,1
32767,19906,6088,-30,-15,0
32767,19872,6380,-44,-34,-12
32767,19826,6376,-49,-59,-23
32767,19844,6064,-28,-71,-16
32767,19996,5882,-6,-58,-13
32767,20168,5892,-7,-35,-14
32767,20210,6216,-26,-27,-7
32767,20206,6342,-47,-34,-3
32767,19988,6252,-70,-47,-4
32767,19812,5866,-47,-41,-14
32767,19884,5984,-25,-21,-6
32767,19930,6130,-17,-5,-9
32767,19980,6478,-27,-27,-12
32767,19970,6532,-32,-53,-15
32767,19948,6304,-31,-76,-8
32767,19966,6032,-36,-83,-7
32767,19906,5862,-49,-68,-15
32767,19948,5992,-45,-36,-19
32767,19998,6074,-41,-14,-17
32767,19986,6212,-33,-16,-15
32767,20014,6318,-26,-36,-17
32767,20080,6324,-23,-56,-17
32767,20216,6216,-42,-74,-14
32767,20108,6082,-75,-73,-13
32767,19824,5786,-72,-59,-6
32767,19792,5850,-6,-22,9
32767,20024,5976,0,-1,4
32767,20152,6226,-69,-5,-17
32767,19786,6362,-117,-24,-23
32767,19512,6300,-87,-52,-21
32767,19574,5978,-6,-54,-7
32767,19886,5864,28,-31,4
32767,20210,5922,-16,3,-16
32767,19914,6416,-97,4,-38
32767,19654,6474,-33,-48,-6
32767,19822,6194,7,-76,-10
32767,19902,6034,-4,-72,-12
32767,19906,6060,-38,-64,-30
32767,19822,6118,-17,-47,-21
32767,19956,5936,22,-31,-4
32767,20106,6168,9,-28,-3
32767,20032,6494,-43,-37,-9
32767,19720,6542,-63,-62,-14
32767,19458,6310,4,-89,-2
32767,19702,6118,91,-102,13
32767,20096,5916,66,-94,10
32767,20054,5912,-3,-87,-9
32767,19912,5950,-33,-84,-21
32767,19970,5820,-14,-72,-9
32767,20086,5614,7,-41,4
32767,20278,5688,-13,1,1
32767,20308,6008,-62,33,-7
32767,20356,6614,-100,19,-11
32767,20070,6706,-124,-40,-9
32767,19640,6398,-57,-84,16
32767,19562,6040,35,-87,28
32767,19882,5960,77,-72,20
32767,20130,6188,22,-52,5
32767,20016,6300,-45,-56,-16
32767,19906,6202,-64,-62,-18
