A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-5956,-292,14988,-641,-427,3,-16016,-736,-2276,-1101,50,-1183,-14808,5900,1832,-841,626,-724,-15780,-2968,-2736,-1706,91,691,-14784,-5176,-1028,-2106,-337,671,-13756,-308,8000,-771,283,413
-5664,-204,14904,-138,-458,438,-15760,-944,-1988,-1164,176,-1139,-14756,5764,1956,-702,699,-592,-15640,-3028,-2208,-1635,189,562,-14620,-5432,-788,-2460,-405,657,-13788,-432,7728,-614,287,510
-5780,164,14988,258,-506,637,-15980,-776,-1644,-1092,237,-1016,-14636,5692,2036,-587,609,-545,-15568,-2884,-2128,-1580,341,472,-14416,-5832,-752,-2011,-333,491,-13584,-280,7544,-268,337,405
-5612,300,15080,367,-508,607,-16016,-1020,-1308,-917,181,-802,-14732,5508,2524,-214,415,-491,-15668,-3112,-2060,-514,319,357,-14668,-5772,-792,-984,-47,349,-13816,-328,7564,-188,381,326
-5628,448,15092,419,-435,473,-15992,-1152,-1316,-289,226,-506,-14756,5504,2540,425,141,-380,-15784,-2944,-1900,425,334,331,-14844,-5744,-656,-500,-5,182,-13948,-240,7600,-4,314,291
-5488,484,14840,268,-284,252,-16128,-936,-1248,158,239,-293,-14780,5920,2496,634,52,-312,-15836,-2692,-1552,180,353,166,-14864,-5524,-720,-909,-157,10,-14008,-100,7616,-72,329,216
-5520,440,15040,-4,-114,124,-16200,-852,-1420,-69,222,-228,-14624,6204,2304,345,161,-219,-15940,-2568,-1844,-470,265,40,-14928,-5356,-728,-1481,-351,-98,-13920,-72,7704,-269,397,145
-5572,300,14956,-184,-3,100,-15856,-736,-1588,-573,157,-241,-14500,6156,2244,-141,285,-161,-15724,-2488,-1972,-816,156,-125,-14656,-5324,-656,-1524,-403,-241,-13916,-104,7856,-519,489,177
-5632,160,15124,-157,-33,155,-15832,-996,-1708,-741,195,-286,-14432,6004,1968,-301,346,-187,-15696,-2464,-2120,-735,207,-221,-14748,-5284,-816,-1321,-339,-319,-13756,-276,7580,-577,595,253
-5604,176,14844,-83,-49,235,-15884,-912,-1656,-651,170,-250,-14496,6120,2088,-246,269,-222,-15500,-2332,-2240,-808,256,-264,-14556,-5328,-736,-1537,-308,-310,-13852,-236,7516,-683,508,312
-5708,164,15012,9,-103,259,-16016,-928,-1468,-512,149,-238,-14472,6348,2116,-289,267,-258,-15732,-2124,-1980,-968,299,-204,-14828,-5320,-660,-1819,-280,-265,-13848,-232,7808,-592,470,365
-5632,308,15072,5,-147,272,-15936,-688,-1428,-556,134,-356,-14476,6348,2236,-293,250,-305,-15760,-2312,-1936,-964,216,-190,-14972,-5292,-752,-1852,-247,-181,-14156,-492,7408,-738,398,472
-5712,260,14948,-48,-207,218,-15884,-872,-1680,-515,105,-407,-14448,6324,2192,-314,220,-380,-15748,-2076,-2020,-868,302,-84,-14932,-5480,-740,-1621,-302,-70,-14184,-356,7624,-802,391,466
-5688,348,15156,-95,-175,168,-16080,-828,-1556,-423,125,-494,-14536,6240,2256,-214,204,-437,-15888,-2340,-1868,-928,222,7,-14828,-5528,-728,-1538,-324,-5,-13952,-216,7592,-676,327,419
-5552,308,14840,-163,-183,97,-15952,-824,-1496,-462,132,-561,-14652,6040,2140,-268,238,-432,-15764,-2380,-1888,-977,151,81,-14844,-5572,-704,-1572,-379,17,-13964,-396,7420,-532,328,360
-5584,104,14980,-265,-216,18,-15924,-1016,-1572,-440,114,-531,-14724,5880,2184,-280,228,-463,-15628,-2632,-1992,-946,187,52,-14672,-5500,-992,-1460,-393,28,-14072,-336,7512,-674,417,372
-5468,224,14920,-186,-146,38,-16104,-1120,-1664,-275,164,-504,-14812,5968,2136,-130,184,-493,-15756,-2640,-2284,-791,188,89,-14844,-5652,-820,-1411,-295,30,-14200,-448,7352,-629,371,409
-5580,228,14796,-136,-88,57,-16024,-944,-1676,-323,157,-489,-14604,5844,2104,-101,131,-404,-15736,-2756,-2232,-747,113,56,-14740,-5656,-672,-1496,-310,2,-13976,-360,7316,-380,300,260
-5496,176,15076,-93,-119,55,-15836,-1180,-1744,-288,148,-447,-14712,5720,2032,-73,139,-356,-15612,-2700,-2164,-702,238,65,-14660,-5556,-864,-1282,-251,-47,-13920,-276,7356,-468,433,197
-5404,148,14848,-41,-84,52,-16052,-1256,-1500,-161,170,-341,-14824,5792,2112,71,71,-370,-15724,-2716,-2292,-413,256,65,-14816,-5628,-808,-1011,-187,-92,-14168,-200,7412,-624,529,161
-5596,224,14956,-4,9,58,-16068,-1016,-1568,-147,138,-320,-14724,5876,2028,129,70,-321,-15812,-2580,-2204,-221,204,69,-14932,-5568,-764,-959,-190,-125,-14332,-312,7360,-315,418,100
-5576,320,15044,-35,-25,44,-15952,-1000,-1624,-208,153,-306,-14600,5824,2224,97,31,-245,-15752,-2492,-2156,-286,211,-45,-14756,-5384,-864,-947,-267,-166,-13884,-232,7356,-294,353,44
-5404,160,15000,-22,-49,63,-15840,-1112,-1756,-232,133,-306,-14604,5900,1960,36,97,-267,-15620,-2404,-2220,-479,221,-88,-14676,-5304,-932,-1128,-241,-184,-13844,-220,7328,-348,442,133
-5600,96,15016,3,-99,64,-15864,-992,-1640,-266,148,-241,-14612,5856,2168,-56,97,-278,-15636,-2608,-2140,-623,206,-164,-14768,-5368,-964,-1409,-247,-253,-14004,-208,7336,-468,514,138
-5564,172,14936,1,-138,95,-15908,-1112,-1632,-369,157,-232,-14680,5852,2148,-124,126,-266,-15640,-2388,-2160,-629,206,-221,-14684,-5516,-896,-1364,-262,-357,-14224,-232,7252,-364,421,140
-5556,72,14980,-22,-78,109,-15956,-1020,-1676,-354,160,-263,-14812,5920,1896,-151,162,-243,-15880,-2624,-2140,-641,166,-315,-14908,-5520,-828,-1357,-276,-400,-14104,-76,7264,-514,350,198
-5516,248,14964,-51,-40,78,-16020,-956,-1588,-419,127,-225,-14700,6004,2080,-225,140,-229,-15772,-2508,-2276,-676,192,-332,-14724,-5440,-892,-1492,-421,-439,-14208,-360,7048,-650,303,218
-5540,132,15060,-73,-57,64,-15908,-932,-1748,-447,120,-208,-14652,5884,1972,-271,141,-269,-15708,-2572,-2200,-769,153,-323,-14832,-5504,-1092,-1650,-414,-338,-14108,-356,7256,-740,271,267
-5560,52,15088,-45,-111,69,-15936,-1092,-1772,-466,111,-269,-14544,5952,2120,-295,151,-257,-15704,-2532,-2428,-891,134,-272,-14680,-5616,-880,-1648,-389,-302,-14200,-404,7224,-695,341,250
-5408,176,14980,-33,-114,78,-15924,-1008,-1768,-443,58,-305,-14692,5884,1832,-288,118,-298,-15700,-2660,-2268,-849,118,-219,-14844,-5624,-744,-1586,-381,-278,-14040,-484,7008,-688,269,190
-5632,68,14884,-25,-129,67,-15944,-1048,-1824,-515,47,-282,-14632,5824,2120,-314,119,-235,-15664,-2740,-2228,-710,96,-192,-14680,-5684,-844,-1404,-386,-296,-14228,-432,7120,-557,164,132
-5460,128,15064,-24,-155,70,-15900,-1300,-1640,-493,66,-260,-14756,5612,2024,-263,103,-233,-15656,-2900,-2424,-659,73,-191,-14784,-5808,-1160,-1283,-398,-307,-14084,-504,7140,-451,214,49
-5480,76,15068,59,-114,69,-15856,-1308,-1700,-375,54,-189,-14832,5568,2108,-123,40,-206,-15732,-2912,-2380,-589,69,-202,-14616,-5632,-892,-1273,-351,-322,-14200,-356,7152,-406,184,80
-5568,160,15132,76,-118,81,-15896,-1244,-1656,-350,52,-138,-14724,5692,2072,-61,-3,-152,-15672,-2948,-2312,-503,77,-254,-14700,-5812,-1036,-1291,-352,-380,-14056,-512,7084,-298,174,96
-5596,16,14992,104,-158,99,-15848,-1172,-1600,-339,42,-82,-14692,5700,1980,-63,-10,-94,-15584,-2796,-2428,-505,186,-321,-14668,-5832,-1144,-1275,-376,-379,-14212,-616,7356,-298,241,164
-5424,84,15136,123,-128,100,-15836,-1172,-1636,-299,74,-22,-14736,5800,2152,21,-46,-123,-15728,-2772,-2216,-440,114,-259,-14680,-5832,-848,-1314,-328,-337,-14144,-524,7136,-297,208,175
-5472,64,15192,111,-107,82,-15932,-1196,-1748,-242,34,-57,-14736,5852,1888,112,-103,-83,-15676,-2712,-2460,-421,102,-226,-14576,-5900,-1000,-1250,-293,-291,-14116,-620,7248,-64,179,127
-5456,56,15068,176,-113,109,-15892,-1144,-1652,-138,28,-75,-14652,5920,1924,174,-98,-119,-15664,-2720,-2468,-274,165,-104,-14700,-5860,-976,-983,-285,-225,-14116,-612,7168,-58,194,131
-5428,244,14980,198,-74,90,-15996,-996,-1756,-127,12,-118,-14692,6052,2032,197,-105,-139,-15744,-2700,-2260,-100,132,38,-14872,-5816,-984,-826,-287,-125,-14256,-644,7244,-36,119,113
-5524,76,15048,181,-98,130,-15908,-1024,-1628,-275,-37,-193,-14636,6040,2124,84,-150,-157,-15732,-2624,-2212,-238,53,136,-14624,-5708,-936,-904,-269,-54,-14056,-552,7212,181,42,49
-5532,184,15040,147,-100,70,-15844,-1076,-1516,-209,-15,-271,-14688,5800,2160,77,-127,-175,-15648,-2760,-2216,-292,37,186,-14684,-5728,-900,-875,-285,-2,-14184,-364,7288,32,7,90
-5592,76,15008,125,-125,79,-15940,-1144,-1680,-171,-6,-246,-14704,5816,2148,126,-112,-163,-15568,-2836,-2252,-181,92,180,-14708,-5616,-924,-701,-336,9,-14112,-436,7208,59,79,100
-5416,168,15048,153,-90,77,-15980,-1204,-1612,-187,11,-153,-14664,5728,2096,69,-69,-151,-15668,-3044,-2284,-202,80,130,-14724,-5640,-988,-949,-329,-15,-14008,-432,7196,-93,116,148
-5488,280,15056,128,-79,84,-15908,-1104,-1580,-303,16,-155,-14812,5772,2124,9,-84,-110,-15604,-2936,-2216,-391,29,67,-14616,-5788,-976,-1228,-335,-82,-14096,-392,7484,21,90,179
