a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
5494,21794,-8716,-116,-17,-24,1280,32767,-8878,-43,-8,-28,8544,5594,-9590,-9,11,0,24724,17260,1098,-17,-30,-9
5896,22158,-8830,-103,-27,-19,660,32767,-8618,-2,-38,-13,8612,5498,-9496,-57,31,-6,24496,17520,1080,-24,-9,-9
5744,21726,-8836,-64,18,-25,1006,32767,-8664,-1,-87,6,8534,5354,-9510,-80,45,-11,24384,17332,1084,-47,-23,-3
5458,21872,-8928,-56,57,-24,994,32767,-8866,-28,-80,9,8300,5120,-9552,-91,59,-16,24556,17350,1328,-34,-57,3
5594,21962,-8910,13,25,-18,1212,32767,-8790,-9,-66,-3,8064,5030,-9400,-77,27,-10,24588,17356,1362,-45,-28,-8
5532,22006,-8632,-25,42,-2,1128,32767,-8672,38,-59,9,8340,5130,-9422,-36,9,3,24392,17406,1406,-40,1,-5
5552,22710,-8710,-20,-2,12,916,32767,-8940,38,-37,6,8392,5252,-9446,-47,32,-10,24246,17456,1262,-64,-23,0
5714,22234,-8614,-72,-45,22,854,32767,-8676,-18,-69,-10,8264,5296,-9506,-66,40,-17,24476,17030,1056,-83,-66,-2
6222,22038,-8732,-74,-87,33,1000,32767,-8398,-17,-81,-5,8298,5038,-9420,-80,38,-17,24762,16736,1030,-26,-67,-7
6684,21760,-8618,-31,-59,25,1178,32767,-8480,-11,-90,8,8222,5006,-9460,-57,19,-4,24714,17078,1108,10,-15,-20
6658,22232,-8740,21,27,7,1328,32767,-8660,-4,-80,8,8440,4944,-9594,-32,17,-3,24320,17362,1070,-2,0,-25
5990,22436,-8618,2,52,6,1472,32767,-8678,9,-67,-10,8402,5156,-9606,-33,34,-12,24292,17568,1146,-25,-99,-9
5778,22488,-8686,-34,1,10,1126,32767,-8674,5,-54,-19,8326,5238,-9430,-49,33,-11,24682,17442,948,-53,-112,6
5896,22326,-8870,-67,-42,17,1192,32767,-8526,27,-77,-23,8452,5190,-9328,-69,23,-7,24710,17144,986,-86,-65,11
5992,22312,-8880,-65,-17,21,1142,32767,-8616,-12,-66,-19,8342,5162,-9416,-51,17,8,24538,16746,1056,-73,-41,13
5686,21930,-8936,-70,2,24,1118,32767,-8812,8,-82,-24,8390,5204,-9612,-54,17,14,24522,16732,1160,-24,-53,14
5724,21854,-8916,-34,-3,26,1614,32767,-9094,32,-94,-20,8372,5196,-9714,-72,26,14,24608,17146,1160,2,-60,15
5830,21832,-8920,-3,22,24,1392,32767,-8572,15,-72,-30,8370,4906,-9740,-81,40,8,24608,17320,1214,-10,-41,17
5534,22512,-8750,19,66,18,740,32767,-8592,-17,-58,-22,8440,4716,-9750,-60,51,4,24576,17482,1274,-13,-22,7
5078,22544,-8626,-79,47,24,1242,32767,-8722,47,-111,-12,8378,4954,-9504,-32,43,9,24586,17510,1186,-37,-29,3
5250,21954,-8612,-149,-57,35,1424,32767,-8392,7,-90,-12,8458,5120,-9382,-37,29,17,24682,17292,1168,-62,-32,-6
5898,21316,-8720,-160,-62,18,1224,32767,-8336,15,-85,-8,8436,4998,-9606,-44,52,8,24554,16976,1084,-58,-22,-12
6272,20948,-8794,-98,-45,6,1690,32767,-8896,39,-86,-9,8188,4948,-9760,-47,70,3,24390,16946,1384,-27,-1,-17
6076,21348,-8606,-34,54,-11,1130,32767,-8764,3,-37,-11,8048,4782,-9544,-46,57,-4,24190,17340,1410,-10,-9,-16
5518,21572,-8484,-2,63,-12,876,32767,-8728,-19,-87,-19,8186,4938,-9346,-4,27,12,24286,17468,1182,-30,-42,-10
5572,22190,-8462,10,18,-8,1734,32767,-8704,5,-110,-14,8322,5184,-9416,13,17,15,24464,17338,976,-43,-69,-1
5680,21842,-8494,-30,-12,-12,1470,32767,-8578,-8,-56,-8,8306,5250,-9472,-25,25,3,24622,17124,944,-41,-72,10
5896,22486,-8570,4,-16,-18,1036,32767,-8526,7,-68,-5,8148,5012,-9640,-52,39,-13,24556,16982,1092,-12,-48,15
5946,21676,-8682,-19,-28,-20,1570,32767,-8434,25,-95,0,8152,4618,-9708,-54,38,-28,24484,17174,1170,0,-55,13
5918,22342,-8776,27,8,-23,1446,32767,-8888,25,-55,0,8172,4436,-9658,-15,21,-30,24560,17382,1190,-13,-69,8
5480,22556,-8644,3,4,-25,1274,32767,-8668,29,-75,-3,8190,4682,-9490,37,7,-22,24656,17276,1096,-43,-56,2
5616,22846,-8950,-31,-38,-18,1362,32767,-8550,-13,-66,-9,8394,4962,-9464,61,-8,-15,24594,16908,1170,-48,-40,-4
5544,21586,-8630,-124,-59,-14,1206,32767,-8572,-30,-66,-12,8380,5212,-9404,31,-3,-19,24522,16840,1228,-12,-35,-9
6246,22270,-8848,-31,-83,-1,1192,32767,-8446,22,-79,5,8304,5230,-9492,19,-10,-20,24474,16942,1224,2,-46,-17
6186,21466,-8592,-47,-5,2,1402,32767,-8602,27,-75,10,8384,5278,-9642,3,-1,-19,24436,17112,1230,14,-60,-24
5936,22712,-8600,-2,44,-9,1242,32767,-8524,17,-67,4,8390,5142,-9710,-23,7,-19,24560,17280,1122,15,-51,-28
5572,22456,-8306,-50,22,-4,1542,32767,-8694,15,-82,-2,8296,4862,-9734,-26,20,-20,24578,17472,1164,0,-53,-31
5728,21634,-8588,-155,-86,20,1224,32767,-8576,2,-47,-10,8190,4864,-9618,-3,11,-10,24610,17296,1178,-22,-36,-33
6424,21542,-8720,-102,-97,16,672,32767,-8662,-56,-53,-25,8398,4856,-9444,22,-1,4,24492,17116,1272,-17,-4,-39
6366,21310,-8472,-16,-18,-3,1108,32767,-8308,-13,-93,-15,8406,5168,-9446,52,-4,7,24276,17210,1252,2,-1,-37
5846,21740,-8620,61,30,-27,1644,32767,-8738,-12,-63,-4,8632,5498,-9572,25,-1,7,24302,17352,1098,-2,-37,-32
5062,22602,-8472,69,70,-46,980,32767,-8510,12,-24,-4,8680,5158,-9722,-34,29,-2,24534,17356,1042,-4,-65,-29
5010,21952,-8750,24,-61,-38,1126,32767,-8500,5,-72,-7,8214,4752,-9752,-42,42,-5,24630,17458,946,-7,-43,-28
5988,22076,-8890,25,-82,-32,1680,32767,-8630,21,-61,-5,8202,4654,-9674,4,23,7,24416,17384,1136,-33,-29,-29
5978,21886,-8870,37,42,-29,1002,32767,-8614,-38,-22,-13,8362,4798,-9606,40,20,8,24400,17120,1250,-42,-47,-25
5416,22572,-8900,29,107,-3,682,32767,-8462,-24,-67,-10,8276,5100,-9194,41,23,-3,24772,17482,1180,-9,-54,-20
5160,22456,-8908,-47,68,21,1888,32767,-8706,-17,-94,-7,8402,5276,-9338,38,13,-4,24606,17352,1200,-21,-31,-24
5612,22704,-8852,-90,-4,33,1504,32767,-8882,-5,-29,-11,8478,5322,-9564,14,34,-11,24500,17304,1120,-28,-44,-27
6084,21990,-8998,-160,-23,36,932,32767,-8798,29,-47,2,8140,5388,-9332,-40,30,-19,24476,17196,1138,-35,-71,-28
6348,21974,-9144,-126,28,26,1182,32767,-8644,14,-84,-3,8174,5090,-9280,-49,-7,-7,24624,17144,1066,-22,-70,-26
6080,21376,-9140,-91,70,10,1236,32767,-8460,-37,-76,-9,8642,4808,-9534,-17,-5,-5,24656,17274,1080,-20,-45,-23
5842,22006,-9126,-42,87,-3,1024,32767,-8296,8,-79,3,8370,5040,-9654,-18,22,-11,24572,17300,1194,-36,-36,-14
5706,21650,-9074,-51,48,-5,1700,32767,-9024,38,-82,21,8318,5082,-9642,-21,10,-6,24556,17132,1150,-42,-42,-12
6014,22070,-8914,-28,39,-12,1484,32767,-8804,60,-34,11,8382,5132,-9758,-24,9,3,24636,17098,1114,-25,-48,-11
5878,22164,-8672,-49,47,-15,896,32767,-8674,-10,-50,-3,8310,5020,-9642,-47,17,7,24634,17152,1060,-24,-30,-5
5824,22482,-8632,-78,65,-11,1562,32767,-8614,16,-77,-1,8278,4690,-9738,-38,32,3,24432,17054,1074,-4,-16,6
5404,22060,-8574,-116,68,-13,994,32767,-8450,10,-31,4,8244,4652,-9670,-10,34,-5,24376,17562,1226,13,-30,16
5686,21728,-8688,-119,-3,1,566,32767,-8590,21,-64,13,8426,4898,-9530,5,24,-11,24534,17790,1244,-10,-47,16
6274,21766,-8784,-61,18,7,1804,32767,-8948,49,-105,19,8472,5062,-9488,5,25,-19,24588,17630,1174,-57,-45,12
5886,21902,-8454,-38,102,2,1248,32767,-8284,-33,-19,-11,8466,4992,-9462,-18,45,-23,24576,17050,1096,-76,-18,7
5430,22548,-8484,-4,82,4,114,32767,-8196,2,-60,7,8230,4994,-9246,-23,40,-17,24408,16968,1082,-51,-14,4
5248,22080,-8396,-89,33,1,1058,32767,-8494,106,-166,28,8226,5148,-9238,-9,0,6,24360,17072,1118,-33,-34,1
6178,22048,-8504,-74,-18,-2,1464,32767,-8598,57,-119,19,8494,5228,-9498,-10,-4,19,24476,17252,1118,-17,-51,-2
6150,21598,-8812,-38,56,-3,846,32767,-8902,44,-62,-6,8446,5112,-9694,-48,20,12,24544,17376,1200,-14,-42,-7
5952,22010,-8820,-17,89,1,728,32767,-8472,28,-52,-27,8398,4892,-9670,-72,34,0,24486,17454,1222,-25,-27,-6
5740,22370,-8652,20,93,14,1180,32767,-8638,84,-46,-7,8362,4732,-9626,-52,28,-1,24364,17350,1116,-41,-31,-2
5516,22600,-8636,-20,82,31,822,32767,-8780,-9,-49,-23,8426,4844,-9710,-23,19,9,24448,17280,978,-45,-52,-4
5428,22626,-8726,-94,37,40,1380,32767,-9042,-29,-78,-46,8400,4740,-9752,-37,46,2,24652,17282,1032,-30,-63,-8
5926,22216,-8686,-116,-23,47,1464,32767,-8952,-23,-42,-43,8288,4816,-9700,-15,58,6,24620,17376,1034,-37,-35,-12
6106,21776,-8734,-130,22,33,1020,32767,-8884,-21,-41,-35,8250,4992,-9544,-1,47,10,24400,17284,1140,-56,-20,-12
6094,21624,-8794,-41,57,17,1240,32767,-8908,-52,-75,-39,8232,5056,-9282,-1,33,15,24328,17050,1182,-63,-44,-10
5354,21994,-8676,-28,117,12,1468,32767,-8722,-40,-51,-38,8182,5210,-9258,-6,21,23,24482,16990,1080,-37,-71,-10
5094,22050,-8584,-47,20,25,1306,32767,-8750,34,-60,-19,8148,5268,-9358,-21,11,23,24634,17266,1144,-13,-54,-17
5708,22092,-8456,-76,-40,31,1288,32767,-8612,61,-63,-4,8284,4992,-9370,-61,13,9,24524,17352,1210,-20,-21,-22
6088,21602,-8534,-71,-29,23,1180,32767,-8666,21,-62,-3,8238,4770,-9518,-68,20,-6,24242,17246,1112,-43,-26,-21
6102,21764,-8506,-47,30,4,1398,32767,-8714,49,-73,7,8242,4668,-9606,-37,16,-7,24282,17078,1154,-33,-53,-23
5732,21556,-8668,-21,61,-16,1492,32767,-8880,54,-54,10,8226,4818,-9520,-17,-9,5,24614,17362,1148,-1,-81,-20
