A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
4084,-4104,14616,60,-522,-439,-17076,-2132,-3616,-1455,-686,-1696,-17052,4140,-1032,-2112,92,-1405,-16168,-5356,-7748,-5036,-1982,1761,-16272,-5892,600,-1195,-467,2741,-17212,1236,1456,2231,14,40
3240,-4512,15004,715,177,54,-16776,-2004,-2140,-1351,-516,-559,-16700,2204,1140,-1721,-319,-382,-14392,-9144,-6664,-4400,-2577,339,-14428,-7688,696,-2377,-548,1192,-15616,2244,400,1209,-90,298
2992,-3792,15172,571,194,128,-16212,-1600,-1548,-243,-56,857,-15704,2248,1968,459,-303,1004,-14568,-9540,-4948,1081,-794,-485,-14144,-8992,980,-855,-634,-745,-15080,1564,1536,-614,94,-601
3320,-4024,15396,107,705,496,-16972,-1780,-2212,-208,424,2108,-16656,2760,1468,834,75,2120,-14232,-8692,-5760,3370,-749,-1765,-13488,-8896,1888,1366,-1894,-2955,-15136,460,1524,-380,-346,-1019
4196,-3892,14892,12,605,1030,-17372,-2244,-2376,-1141,597,3330,-16788,3272,820,-326,623,3142,-15016,-6236,-4780,4748,-657,-2586,-14172,-6240,2436,1494,-769,-4414,-15240,-288,628,248,381,-1107
9200,-5180,14272,-573,1297,3461,-16168,-5208,-2576,-3474,244,2414,-16160,5000,-68,-1593,1083,2440,-15628,-4020,-5248,2874,-434,-3512,-14600,-6580,1744,922,-1157,-4991,-16048,-172,888,494,984,-1351
12328,2800,16876,-1086,2976,4072,-16000,-7356,-1064,-3118,-217,306,-16296,4932,-752,-2015,499,-109,-14788,-4212,-6932,614,-725,-4534,-14300,-7164,1580,379,-1774,-5105,-16920,-396,1548,1045,236,-1760
22280,-6456,11916,2229,398,2623,-14136,-10148,-2080,-1819,-610,-3643,-15944,4760,-300,-1984,-207,-3733,-15596,-4192,-6120,1132,-30,-4415,-14672,-7664,2200,58,-1690,-4770,-16596,-436,1264,1284,-703,-2244
12784,-10292,15300,-362,-5631,-408,-15808,-8180,-1384,-448,-896,-6997,-15696,4952,356,-1064,-1374,-6870,-15864,-4904,-4992,731,19,-4420,-14520,-6928,1696,-43,-1864,-4590,-16288,-188,1228,949,-1240,-2265
9588,-8116,14388,-2339,-6919,-2419,-16072,-6508,-1516,1054,-622,-9164,-15416,4028,108,-50,-1487,-9126,-14592,-5564,-5048,614,-229,-4636,-13216,-7332,1724,-324,-2387,-4566,-15280,-456,1320,370,-1243,-1928
7488,-7612,14764,-2887,-6172,-4342,-17380,-5060,-1608,2761,-774,-10382,-16420,4244,208,833,-2089,-10475,-14896,-5888,-5776,1252,126,-4448,-13744,-8084,2104,405,-2077,-4463,-15792,-868,1184,644,-300,-1734
5680,-6852,19748,-4490,-6529,-5663,-17524,-3324,-2024,3914,-950,-10838,-16392,4188,440,1551,-2862,-10891,-15044,-7556,-5940,1755,-145,-4772,-13452,-7432,1260,-712,-1684,-4457,-16140,-424,1488,861,-263,-1674
4944,-3396,17528,-3733,-8492,-6003,-17776,-2668,-2044,3906,-1156,-10901,-16320,3960,-168,1789,-3168,-10724,-14424,-6712,-5716,2190,135,-4855,-13232,-9100,2204,235,-1917,-5089,-15988,-356,1968,794,-1033,-1863
4036,-2356,17612,-2614,-8767,-4397,-17524,-1996,-1912,2307,-1815,-10680,-16064,3940,628,405,-3158,-10223,-14284,-6544,-5560,2606,273,-5139,-12984,-7820,2740,-106,-1601,-5279,-15216,-756,1608,598,-835,-1897
3724,-3760,16552,-1238,-8360,-2613,-17116,-2476,-2116,961,-2030,-10102,-16004,2788,1024,-570,-2810,-9620,-14240,-6680,-4944,2446,117,-5353,-13064,-8772,2244,-178,-2189,-5146,-15376,-1124,1144,843,-93,-1567
3492,-5788,16300,-1207,-8680,-2514,-16240,-2496,-1992,922,-1737,-9222,-15420,2792,1232,-549,-2498,-8847,-14172,-6740,-4604,2273,-148,-5425,-12712,-8724,2408,-198,-2478,-5029,-15356,-1300,980,707,18,-1044
3296,-4700,14112,-1211,-7781,-2582,-16264,-3108,-1976,1030,-1455,-8335,-15960,1712,1124,-617,-2224,-7994,-13720,-7568,-5272,1863,-219,-5403,-12468,-8844,2700,-271,-2436,-4902,-15604,-1224,1728,808,-256,-899
3924,-4816,14688,-1253,-6630,-2140,-16032,-3256,-1908,769,-1314,-7224,-15788,1476,896,-516,-1959,-6966,-13732,-7788,-4568,2036,-7,-5355,-12056,-9200,2928,-808,-2700,-4996,-15236,-1096,1516,939,16,-1085
4540,-4080,13604,-689,-5484,-1498,-15780,-3828,-1752,469,-1108,-6272,-15752,1396,1196,-642,-1622,-6158,-13700,-8064,-5168,1678,-220,-5179,-11892,-9928,2576,-1048,-2473,-4820,-15640,-1404,1420,420,405,-1302
5612,-5052,14312,-791,-5812,-1268,-15068,-4748,-1584,33,-962,-5722,-15332,900,1228,-1034,-1440,-5433,-12968,-8100,-4976,1053,-761,-5068,-11412,-10644,2436,-1005,-2419,-4809,-15776,-1652,1784,38,58,-1222
6440,-4936,13224,-603,-5331,-780,-14808,-5644,-1428,-190,-887,-5303,-15616,324,1072,-983,-1194,-5076,-13060,-8024,-4864,1157,-380,-4451,-11416,-10080,3460,-674,-1988,-4229,-15940,-2056,1508,-8,281,-1301
8028,-6080,12868,-728,-4858,-1231,-14436,-6628,-752,199,-975,-5166,-15372,-112,1076,-431,-1379,-4984,-12600,-8320,-5236,1213,-345,-3881,-10868,-10224,3132,-880,-1899,-3717,-15820,-2188,1524,114,300,-1360
8108,-5452,12868,-620,-4805,-2254,-14260,-7076,-716,1248,-856,-5026,-15400,-1032,1772,354,-1723,-4885,-12412,-9176,-4460,1325,-294,-3349,-10616,-10940,2652,-144,-1466,-3454,-15480,-2292,1708,318,295,-1320
8644,-3908,12104,-744,-4297,-1976,-13976,-7024,-472,1026,-900,-4900,-15004,-976,1960,549,-1790,-4670,-11988,-9812,-4460,1640,-950,-3129,-9996,-11140,3184,832,-1428,-3557,-15348,-2068,1688,282,336,-1174
9272,-4820,13244,-448,-4793,-1839,-13976,-7932,-468,986,-1039,-4848,-15416,-1560,1968,481,-1822,-4543,-12048,-8936,-3888,2666,-149,-2538,-10520,-10184,4256,657,-1159,-3175,-15536,-2140,1584,58,527,-1336
9100,-4872,11616,-317,-4773,-1942,-13828,-8140,-240,965,-1051,-4679,-15464,-2076,2240,455,-1811,-4421,-12872,-9788,-3892,1360,-322,-2739,-10744,-10660,3392,-299,-1362,-3044,-15632,-1984,1792,-27,354,-1293
9396,-5556,12596,-326,-4219,-2082,-13876,-8288,-856,1149,-801,-4234,-15808,-2864,2568,388,-1581,-4053,-12428,-11016,-3568,949,-560,-3031,-10508,-11348,4216,-224,-1257,-3180,-15628,-2116,1560,-166,434,-1189
9508,-4052,11204,-740,-3543,-1279,-13572,-8620,-376,427,-579,-3784,-15484,-2960,2564,20,-1152,-3681,-12304,-10964,-3404,1025,-438,-3264,-10352,-11736,4232,-774,-1938,-3286,-15916,-2400,1404,-416,358,-1218
10804,-5068,11824,-304,-3608,-1241,-13416,-9620,40,271,-628,-3510,-15688,-3388,2516,-234,-1129,-3414,-11960,-10940,-3980,1066,-321,-3282,-9652,-11928,4152,-600,-1781,-3409,-15640,-2640,1584,-189,24,-1267
11408,-4676,11388,-463,-3349,-1285,-13092,-9872,108,533,-587,-3478,-15600,-3328,2960,14,-1247,-3448,-11620,-11100,-3612,1065,-369,-3115,-9300,-12352,4288,-204,-1869,-3281,-15692,-3164,1520,34,195,-1346
12052,-4612,11860,-615,-3469,-1218,-13344,-10280,260,467,-636,-3539,-15868,-3880,3056,61,-1199,-3455,-12208,-12016,-3472,1468,-591,-2907,-9600,-13160,4132,666,-1693,-3424,-15896,-2860,1648,610,223,-1196
12424,-3128,10620,-584,-3582,-576,-13376,-10808,864,-190,-690,-3590,-15812,-4092,3336,-318,-1091,-3459,-11840,-11628,-3128,1806,-1035,-3175,-9548,-12012,4364,1636,-2045,-3687,-15596,-3060,1440,984,-3,-1005
13160,-5548,12272,-89,-3878,-1235,-13028,-11460,956,441,-879,-3778,-15688,-4476,2904,-248,-1372,-3674,-11804,-11144,-3424,1649,-477,-3150,-9816,-11580,4248,419,-2091,-3544,-15232,-2724,1504,1711,582,-798
12604,-4832,11420,-280,-3641,-1608,-13060,-10776,384,744,-955,-3923,-15764,-4220,3076,-116,-1653,-3917,-11740,-11792,-3344,1249,-744,-3601,-9428,-12056,4708,204,-2080,-3672,-15844,-2260,1288,1577,751,-525
12180,-4400,10580,-91,-4224,-1619,-12660,-10560,64,544,-945,-4008,-15264,-4252,3040,-152,-1581,-3955,-11024,-11796,-3404,1539,-795,-3698,-8940,-11760,5024,932,-2148,-3952,-15256,-2048,1452,1121,-23,-429
11596,-5928,10828,-184,-4030,-1462,-12272,-10592,4,464,-911,-4008,-14980,-4424,2692,-265,-1558,-3984,-11456,-11316,-3168,1668,-434,-3819,-9092,-11348,4976,-128,-2328,-3886,-15356,-2076,1776,571,61,-475
11376,-4840,10104,-599,-3895,-1823,-12040,-9992,108,793,-706,-4030,-14336,-3632,2724,83,-1516,-4098,-11292,-10856,-3092,1301,-664,-3785,-8544,-11952,4448,-533,-2345,-3669,-15252,-2488,1680,191,156,-704
10644,-4104,10672,-362,-4123,-1864,-12192,-9496,-12,813,-750,-4030,-14532,-4064,2704,83,-1537,-3938,-10784,-11488,-3120,1210,-588,-3413,-8256,-12464,4664,-293,-1653,-3454,-15464,-2788,1644,130,179,-629
10296,-5136,9828,-400,-3739,-1543,-11556,-9056,-192,538,-663,-3652,-13544,-4068,2732,230,-1422,-3556,-9324,-10196,-2632,1819,-109,-2737,-6568,-11256,6008,27,-845,-2838,-15764,-3072,1332,54,292,-507
8736,-3672,9540,-1381,-3827,-2262,-11468,-7344,492,1035,-217,-3017,-13020,-3144,3008,522,-1029,-3045,-9432,-10868,-3232,323,311,-2538,-7264,-12088,4292,-2230,-1646,-2078,-15484,-3000,1780,-341,-544,-650
