ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20844,6474,-6,-94,-15,24212,5018,5100,-13,22,11
32767,20686,6064,-40,-110,-2,24220,5132,5258,3,22,10
32767,20284,5774,-16,-87,26,24166,5314,5240,-13,27,20
32767,20232,5800,32,-48,29,23988,5276,5202,-32,16,24
32767,20502,6006,21,-11,3,24104,5306,5226,-22,6,12
32767,20538,6482,-67,-15,-28,24316,5408,5144,-14,9,5
32767,20382,6528,-72,-45,-26,24332,5344,5176,-20,21,6
32767,20424,6174,-19,-65,2,24192,5232,5206,-25,28,12
32767,20446,5910,21,-60,34,24092,5138,5166,-26,30,16
32767,20316,5876,14,-36,24,24048,5248,5272,-29,23,19
32767,20288,6550,-57,-36,-38,24048,5256,5138,-24,17,20
32767,20304,6386,-49,-67,-35,24206,5310,5142,-9,10,9
32767,20434,6022,-7,-76,-10,24344,5364,5234,-12,17,9
32767,20510,5760,18,-45,6,24298,5274,5332,-34,24,5
32767,20552,5896,12,-14,20,24108,5130,5162,-46,26,18
32767,20448,6338,3,-11,27,24048,5140,5258,-36,13,14
32767,20374,6488,-32,-44,8,24078,5258,5198,-22,4,9
32767,20292,6466,-31,-79,-16,24190,5232,5120,-11,-5,13
32767,20306,6258,13,-96,-9,24372,5272,5342,-16,9,6
32767,20638,5810,45,-71,3,24394,5388,5246,-26,27,19
32767,20832,5586,29,-26,9,24034,5246,5306,-37,35,18
32767,20612,5994,-46,19,10,23958,5212,5232,-29,22,12
32767,20170,6584,-87,8,-19,24060,5236,5100,-23,7,4
32767,20128,6646,-23,-48,-19,24174,5170,5136,-13,3,7
32767,20514,6348,54,-87,5,24394,5290,5278,-6,14,8
32767,20886,5860,69,-94,23,24318,5340,5246,-19,26,11
32767,20910,5656,10,-61,22,24056,5246,5258,-29,25,21
32767,20564,6010,-69,-29,12,24046,5244,5246,-30,13,14
32767,20328,6288,-115,-29,-26,24172,5326,5198,-27,0,3
32767,20196,6282,-113,-52,-33,24302,5228,5162,-29,4,2
32767,20170,6094,-17,-76,-5,24512,5292,5254,-24,22,5
32767,20398,6098,34,-81,0,24350,5216,5222,-43,37,10
32767,20756,5982,27,-70,-13,23986,5014,5242,-34,40,31
32767,20816,5864,-28,-40,-17,24032,5160,5168,-15,29,23
32767,20424,6010,-83,7,-16,24198,5428,5180,-10,24,8
32767,20292,6394,-62,-11,-10,24268,5480,5282,-21,28,15
32767,20172,6306,-29,-35,4,24068,5228,5154,-35,30,5
32767,20230,6030,3,-46,0,24080,5164,5206,-30,26,1
32767,20388,5810,27,-23,-15,24138,5134,5256,-24,18,3
32767,20708,6098,21,-10,-18,24214,5244,5252,-26,21,6
32767,20824,6390,-34,0,-23,24200,5176,5228,-29,26,16
32767,20654,6512,-85,-33,-26,24208,5264,5206,-21,27,9
32767,20402,6414,-72,-65,-13,24216,5350,5182,-24,30,7
32767,20260,6070,-6,-97,13,24148,5284,5348,-30,28,3
32767,20364,5856,26,-79,4,24120,5136,5198,-29,24,-2
32767,20602,5788,6,-37,-6,24096,5276,5244,-25,19,-3
32767,20656,5954,-42,3,-14,24148,5260,5212,-29,17,10
32767,20670,6364,-81,-3,-23,24328,5304,5332,-25,16,2
32767,20476,6588,-75,-36,-14,24312,5308,5102,-25,26,5
32767,20234,6524,-34,-88,5,24188,5184,5190,-28,26,8
32767,20204,6218,15,-116,8,24070,5234,5220,-23,24,6
32767,20778,5698,-3,-88,-10,24220,5284,5198,-21,20,5
32767,20664,5660,-54,-30,-11,24236,5298,5236,-29,25,18
32767,20380,6074,-78,-2,-10,24206,5212,5250,-28,21,12
32767,20108,6472,-55,-5,-13,24182,5378,5186,-33,19,-1
32767,20324,6460,-27,-42,-12,24092,5258,5124,-44,13,9
32767,20480,6152,-10,-54,-8,24130,5116,5100,-36,18,4
32767,20656,5984,-1,-46,-8,24318,5186,5260,-18,21,2
32767,20784,6482,-34,-63,-17,24384,5262,5300,-26,32,6
32767,20848,6514,-69,-98,-10,24248,5188,5284,-28,37,22
32767,20704,6102,-96,-118,15,23970,5162,5198,-23,32,20
32767,20556,5668,-102,-96,29,24044,5466,5142,-3,13,1
32767,20138,5396,-98,-29,44,24138,5460,5312,-16,9,0
32767,19658,6146,-88,12,23,24212,5264,5300,-37,8,14
32767,19630,6558,-20,13,-16,24228,5240,5254,-43,3,11
32767,19838,6662,41,-31,-17,24242,5270,5198,-45,3,10
32767,20740,6280,70,-77,-20,24266,5222,5064,-36,11,15
32767,20936,5956,28,-83,-19,24268,5218,5230,-23,20,9
32767,20764,5982,-19,-78,-8,24132,5290,5228,-37,27,18
32767,20504,6076,-35,-61,-7,24180,5052,5298,-30,5,16
32767,20402,5972,-48,-50,-16,24342,5314,5176,-18,4,7
32767,20304,5884,-20,-26,2,24280,5376,5242,-22,9,11
32767,20220,5976,4,-10,20,24226,5256,5214,-14,16,16
32767,20222,6354,10,-15,11,24208,5350,5202,-24,13,1
32767,20656,6464,-25,-53,-38,24180,5246,5274,-31,12,11
32767,20650,6344,-58,-73,-38,24148,5074,5100,-32,15,7
32767,20608,6014,-17,-72,-13,24352,5018,5116,-12,16,9
32767,20708,5798,36,-50,21,24586,5310,5314,2,43,22
32767,20704,6062,24,-29,33,24364,5514,5312,-18,51,42
32767,20638,6272,-41,-34,1,23996,5380,5294,-30,44,37
32767,20272,6256,-93,-47,-19,23878,5376,5166,-25,20,12
32767,19970,6008,-47,-46,-3,24144,5396,5124,-20,-1,1
32767,20318,5884,41,-25,7,24410,5380,5198,-16,8,3
32767,20700,6168,8,-13,-1,24220,5348,5184,-34,22,12
32767,20784,6414,-73,-27,-19,24066,5178,5260,-48,27,20
32767,20240,6478,-109,-51,-26,24060,5080,5158,-35,18,3
32767,20090,6206,-31,-72,-19,24230,5154,5156,-20,15,-4
32767,20394,6018,59,-70,3,24188,5248,5260,-15,24,6
32767,20888,5924,57,-45,2,24278,5258,5230,-19,27,10
32767,20760,6042,-44,-3,-10,24258,5388,5280,-15,30,3
32767,20538,6354,-71,-4,-13,24156,5378,5280,-25,26,0
32767,20362,6426,-50,-36,-11,24110,5296,5190,-23,17,-5
32767,20446,6532,-37,-68,-15,24196,5296,5152,-15,9,-7
32767,20382,6332,-20,-95,-12,24420,5420,5228,-14,15,7
