A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-1732,8356,-15088,6076,-2553,2200,792,15136,-9756,241,520,643,-6620,10500,7812,284,157,731,-7348,380,11488,174,-91,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1768,5500,-15420,2323,2342,-314,868,12700,-9172,803,-102,559,-7188,11060,8252,2072,-585,1141,-7812,1016,12520,978,-578,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3344,6600,-12524,6776,1784,346,256,12056,-10512,2030,1036,1582,-6076,11844,7812,1421,-218,72,-7444,876,12580,1033,-696,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1896,5440,-12168,2109,641,3488,84,16296,-11088,1468,1002,1101,-8416,12808,8800,1501,488,381,-8560,812,12612,367,562,482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2924,2540,-13396,-19,1586,-1428,620,13848,-10304,-2028,-168,338,-8032,12880,9188,885,-1108,259,-8192,1396,13528,-80,-570,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3596,8960,-12548,1733,5,-168,-704,12180,-11744,321,942,607,-7004,12244,7360,-437,-202,-1136,-7780,940,12136,263,-608,-74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2520,4912,-12792,-64,-1735,3413,676,15128,-11432,-993,-317,55,-7828,12720,7864,-299,128,-53,-8112,984,11856,-621,792,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3088,3896,-14416,928,-57,-583,-220,12312,-9752,444,-31,425,-7464,11912,8316,-377,-257,742,-8080,1016,13264,-328,-63,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3176,5932,-14408,1002,-307,83,212,14672,-11016,-272,62,15,-8100,10960,7764,1001,-299,-850,-8192,1068,12348,-111,155,-72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3672,5916,-13148,631,-524,974,-228,12980,-11120,-2462,729,438,-7168,13080,7592,-537,167,-841,-8080,916,11972,-510,597,-155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2944,5776,-13588,-82,422,768,-356,13516,-11116,890,-56,275,-8116,11908,8044,-1071,-186,21,-8520,968,12344,-705,408,-13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2960,4292,-14080,273,-526,551,712,14984,-11360,-2235,239,-163,-7952,11828,7768,87,-289,-421,-7968,1144,12224,-215,116,-332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3564,6636,-13228,779,165,10,-788,10588,-10596,-313,142,767,-6796,12144,7568,-370,-43,-394,-7564,936,12628,-241,-166,-186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1672,5316,-14080,658,-131,1120,888,15140,-10648,2034,-163,451,-8064,11836,8216,-90,-183,-12,-8112,880,11624,-652,561,-147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3612,5356,-13060,-1418,1253,-202,936,14952,-11024,-4500,1009,87,-7208,11364,8192,-407,-406,-407,-7912,948,12652,-345,43,-385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2904,5376,-13280,148,-579,-17,-1000,9820,-10396,-960,349,512,-7092,12096,7524,171,-139,-831,-7972,1212,12432,-104,75,-141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2360,4712,-13320,-370,483,-90,1248,15324,-10752,1555,361,212,-7468,12468,8296,-903,92,-7,-8000,916,12196,-482,709,-226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2756,7100,-12944,-38,1186,764,148,14020,-11028,-3102,486,-313,-7168,11324,7808,368,108,-334,-7644,984,13100,-18,247,-30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3456,4360,-12220,-205,-1452,300,-404,11264,-10560,548,-330,309,-7620,13024,7896,943,219,143,-8028,1272,12328,331,219,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2304,7336,-13192,1065,-1711,-135,1088,16292,-10204,1993,-190,-47,-7636,12012,8708,-1386,79,14,-7728,1008,12360,-709,671,-279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2808,6192,-13988,-5322,826,1695,280,14276,-10360,-6042,151,-627,-7788,10736,7752,174,59,-960,-7980,1004,12792,-185,747,-193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3572,6968,-13060,-2294,-585,414,-184,11264,-9908,255,11,351,-7080,12576,7592,-222,-2,-630,-7940,720,11796,466,459,-253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-3048,12244,-12060,-10914,-1998,2365,1396,18440,-10484,-1289,575,589,-7988,11092,8568,-947,-694,-480,-7836,1280,12372,-630,976,-584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2280,14424,-14640,-32768,-2425,9560,140,16584,-9956,-9298,1318,690,-8116,11864,8416,1056,-311,-1201,-8800,1076,12812,306,413,-735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-4036,19592,-11052,-32768,-2008,11371,1080,16936,-9176,-13103,780,637,-7768,12992,8712,-530,-1755,-1625,-8048,904,12088,-177,-62,-729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-4092,26876,-16564,-32768,-4028,19467,1940,22304,-8736,-26055,2192,497,-8640,11360,9784,-2497,-2051,-1555,-8380,912,12668,-1191,283,-1332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2400,19904,-23568,-32768,-3024,25446,1924,21252,-5896,-32768,2226,-228,-9372,12160,10136,-2020,-3765,-3240,-8964,652,12152,-1383,90,-1935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-760,12124,-14576,-32768,2616,28463,5012,21596,-7948,-32768,5298,-1500,-8400,12604,10324,-6555,-6058,-4817,-7236,528,12368,-2033,-1961,-2593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2244,6384,-2948,-32768,14955,30523,-2256,14084,-4508,-32768,7803,-1061,-8152,13416,9312,-9914,-6471,-4926,-8168,928,12424,-3303,-1850,-2452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-632,-2776,17248,-32768,11176,22765,-1448,9460,-1852,-32768,4553,-56,-6020,12256,8068,-16048,-7651,-6687,-7204,840,12352,-6173,-927,-1350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-312,-8656,22180,-32768,-302,12700,-2228,6860,3724,-26055,4449,1340,-5032,6736,8104,-14563,-3695,-4914,-7592,-1136,12196,-6037,499,-863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3512,-2356,15820,-6355,-5575,5963,84,9364,7108,-10780,1011,72,-6980,4684,9932,-2991,-1724,-2272,-7496,-1116,11812,-3712,2555,-662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3336,-28,16184,3323,2467,3395,444,12788,7100,-540,161,1988,-7752,7668,11652,4793,-1427,304,-8356,-1020,13624,1959,346,-890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2376,3136,17468,-4261,843,2605,-652,15596,5228,-241,-55,778,-8020,11256,10636,5062,-828,-315,-8556,-312,12840,4185,-1823,-857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2624,-1648,16868,-3804,582,753,920,13492,6940,-915,-786,704,-7268,11932,11472,-2801,548,-543,-7700,428,11852,-781,168,-439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
