A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
2532,-3128,15948,-1112,-2381,-715,-16572,1992,-4188,625,376,-2597,-15592,5832,640,9,-827,-4025,-7420,-15496,-2212,3071,-170,-5598,-5056,-15220,3628,1514,-1671,-6108,-15500,-3148,-1892,979,127,-875
2440,-4216,15356,-1252,-2493,72,-16228,1448,-3200,-297,600,-2609,-15328,6268,180,-518,-384,-3994,-6868,-14772,-2356,3266,-327,-5565,-4724,-15424,3488,1736,-1980,-6073,-15208,-3352,-1552,255,572,-1033
1868,-3748,16672,-1219,-2018,-596,-17284,2104,-2924,555,669,-2311,-16352,5432,964,-174,-509,-3845,-6772,-15788,-2220,2534,-139,-5865,-4224,-16048,3924,1389,-1973,-6176,-15748,-3764,-3160,201,1173,-239
2112,-2012,16476,-1211,-1593,-714,-16812,2044,-2392,495,505,-1620,-15944,5128,908,-111,-761,-3577,-6484,-16500,-2528,3111,-603,-5635,-3836,-17624,3504,2192,-2320,-5936,-16500,-3412,-1036,-624,599,83
3120,-2856,16728,-122,-1296,-966,-17524,1252,-1876,794,-350,-1058,-16864,4332,356,43,-1751,-3156,-5356,-16636,-3076,4857,-358,-5167,-3104,-15768,3616,4143,-2390,-6208,-16028,-3900,-2000,463,414,147
3116,-3964,16588,324,-688,-1960,-17276,1128,-2708,1488,-947,-561,-16712,4260,736,550,-2694,-2852,-5040,-16332,-2072,5910,203,-5353,-2796,-15124,4156,4124,-1839,-6641,-14688,-3156,-1348,1071,126,184
3452,-3612,15776,762,-438,-1613,-16096,928,-2656,971,-1176,-244,-15356,4564,1436,591,-3150,-2935,-5292,-15144,-1108,6138,-203,-5793,-2456,-15020,4500,4116,-2366,-6809,-14704,-3316,-1912,892,664,-55
3248,-4888,13400,309,-490,-2048,-14300,376,-3748,1586,-690,-134,-13824,3780,1872,197,-2900,-3099,-4564,-14044,396,5558,-654,-5962,-1468,-13120,5760,4243,-2948,-6763,-14452,-3676,-2316,530,-207,-469
3028,-6168,15020,-752,-1061,-1677,-14940,612,-4700,1421,381,-1038,-14332,5136,1356,288,-1167,-3303,-5032,-14540,276,3775,-143,-6133,-2172,-13688,5892,3475,-3528,-6369,-15280,-3080,-1540,2267,-325,-385
1484,-5032,15060,-1433,-1173,271,-15292,2020,-5624,-277,1541,-1324,-15252,4588,2040,-620,-231,-3853,-4808,-16072,1444,3209,-1081,-6361,-1616,-14624,6308,3003,-3666,-6267,-15528,-3200,-1280,391,466,-470
