A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-3088,2108,14784,78,1437,2764,-13516,3892,-2748,-2471,1302,-1644,-14516,1860,-468,-2063,499,-1226,-14036,3308,744,-2399,1064,-1671,-13356,6856,-1132,-2464,1410,-1204,-15124,-1980,16748,-1856,-190,1270
-1648,1660,13216,-687,2204,2048,-14180,4748,-2732,-2042,1502,-2743,-15288,1560,-1120,-2040,620,-2239,-14100,2712,28,-2721,1553,-2152,-12844,5644,-928,-2514,1750,-2086,-14600,-1388,17228,-1593,-807,951
-2544,2520,13248,-532,3865,1634,-14116,3992,-2972,-1289,1409,-3716,-14896,864,-600,-1155,730,-3272,-14684,2124,956,-420,1392,-2921,-13636,5632,-1488,-1716,1963,-2714,-14484,-2292,17264,-1326,-2035,551
2232,2976,16380,24,7565,1947,-14440,11804,-1432,-532,1543,-2602,-16204,4876,1036,-219,888,-2063,-16424,4032,1844,313,2650,-3084,-15448,6992,-1732,-1445,2619,-2782,-14896,-2692,16580,-1687,-2008,-724
1432,356,14676,-768,12139,-440,-15812,10184,-1464,-1342,1529,-3106,-17664,5612,956,-2088,938,-2605,-17808,5968,2920,-977,842,-2577,-17672,7260,-620,-1893,1695,-2306,-15604,-4352,16508,-3607,-1437,-2043
-2356,1740,16668,-816,12014,-1976,-16076,6340,-1412,-766,1718,-3966,-16696,2376,404,-2059,1128,-3476,-17076,4100,2196,-2058,524,-2246,-16716,6464,-932,-1737,794,-1345,-15472,-4520,16576,-5140,527,-2718
-4144,3384,18148,-1672,11621,-1969,-14612,6104,-3156,1665,1897,-3770,-15836,1796,-1140,-666,1842,-3589,-15224,1560,188,-1270,672,-2573,-14484,5292,-1156,-190,582,-1162,-14912,-3588,17484,-3895,332,-2588
-4940,4020,17532,-2770,9165,-1290,-15976,6244,-4988,734,2283,-4323,-17032,556,-2096,-1193,1839,-4007,-16024,1780,-700,-173,1746,-3059,-14120,5960,-1696,585,1123,-1963,-15396,-3192,17428,-2910,-861,-2555
-5328,3868,17280,-4286,5050,-1171,-15556,5316,-4468,898,2186,-4516,-16540,700,-2436,-456,2045,-4304,-16188,2048,-672,844,2141,-3579,-15716,7324,-2520,-207,1575,-2422,-15864,-4192,16600,-2749,-1094,-2406
-5316,1732,17180,-5494,2613,-402,-14736,5256,-3740,42,2648,-4773,-16180,2032,-1244,-909,2182,-4615,-15548,3396,-48,17,2070,-4483,-14236,7204,-2228,-104,1587,-2401,-14552,-4568,16452,-2218,-1617,-1624
