a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
5246,20678,-19008,39,33,6,2854,32388,-13932,45,-43,-18,10868,2412,-3214,-13,8,-11,23434,11976,-2596,-58,-5,13
5290,20772,-18990,25,16,7,2530,32489,-13830,37,-29,-16,10736,2478,-3240,-4,24,-16,23300,12036,-2546,-52,-1,2
5406,20584,-18888,27,20,7,2680,32482,-14032,24,-66,-17,10826,2510,-3214,-10,29,-17,23264,11954,-2534,-51,-3,-7
5024,20840,-18850,55,27,5,2900,32569,-13942,13,-40,-18,10830,2528,-3260,-8,29,-13,23254,11922,-2552,-40,-13,-10
4836,20768,-18682,7,-10,8,2644,32494,-13904,-1,-35,-19,10918,2652,-3196,4,22,-7,23240,11962,-2588,-27,-19,-10
4774,20944,-18830,29,-16,2,2738,32605,-14034,11,-42,-20,10976,2808,-3174,-4,26,-2,23244,12092,-2620,-27,-30,-13
4748,20720,-18946,-11,-40,-8,2648,32646,-14028,32,-31,-14,10956,2824,-3192,-13,35,2,23304,11994,-2624,-38,-42,-21
4896,20638,-19066,6,-29,-13,2478,32342,-14064,30,-31,-13,10908,2830,-3176,-17,38,9,23340,11868,-2586,-29,-63,-26
4552,20870,-18880,40,-2,-4,2532,32437,-14004,35,-37,-11,10910,2816,-3084,-31,36,12,23390,11870,-2634,-19,-74,-36
4568,20822,-18872,7,-24,6,2592,32765,-13968,42,-28,-10,10936,2758,-3012,-41,40,15,23304,11930,-2640,-24,-73,-49
4924,20322,-18908,15,-13,13,2482,32653,-13876,23,-19,-10,10776,2692,-3018,-47,49,16,23366,11900,-2710,-21,-92,-53
4890,20496,-18820,68,16,14,2490,32616,-13894,5,-39,-16,10730,2640,-3122,-54,47,19,23592,11856,-2746,-32,-109,-59
4864,20144,-18840,7,43,8,2632,32764,-13948,8,-52,-9,10780,2444,-3016,-45,37,18,23616,11918,-2784,-14,-97,-52
4714,20496,-18838,29,69,8,2620,32526,-14028,16,-55,-8,10722,2604,-3020,-23,32,19,23658,11968,-2742,-15,-85,-48
4534,20274,-18994,-80,57,8,2626,32573,-14172,13,-50,-14,10728,2602,-3038,-26,31,19,23652,11944,-2798,-26,-80,-47
4484,20674,-18982,-66,21,4,2528,32446,-14026,8,-40,-23,10720,2660,-3146,-38,31,18,23650,11880,-2766,-27,-69,-41
4636,20530,-18984,-81,15,-11,2488,32357,-13940,23,-39,-21,10796,2558,-3100,-43,23,17,23682,11884,-2796,-24,-60,-36
4710,20632,-18988,55,8,-26,2422,32514,-13862,58,-47,-9,10730,2422,-3088,-31,32,12,23652,11930,-2678,-20,-57,-27
4510,20888,-18782,70,5,-31,2468,32404,-13930,62,-71,0,10702,2502,-3126,-12,28,13,23666,11958,-2774,-15,-47,-19
4572,21036,-18880,15,52,-18,2826,32607,-14136,54,-82,-4,10702,2664,-3134,-9,21,14,23722,12034,-2678,-22,-36,-13
4598,20848,-18830,-33,58,5,2836,32417,-14014,3,-54,-19,10824,2702,-3298,-12,16,12,23542,12090,-2694,-33,-33,-11
4846,20808,-18620,-63,26,20,2750,32508,-13906,-27,-51,-26,10896,2658,-3198,-23,29,5,23592,11960,-2712,-49,-31,-9
5072,20544,-18718,-67,7,10,2716,32652,-13786,-6,-59,-20,10932,2592,-3210,-21,42,2,23540,11780,-2678,-50,-27,-3
5080,20556,-18872,-35,23,-12,2794,32633,-13912,25,-70,-9,10742,2742,-3104,-12,41,9,23516,11900,-2592,-36,-21,1
4932,20866,-18918,-13,29,-24,2858,32487,-14040,34,-63,-9,10708,2808,-3024,-15,23,13,23480,11974,-2644,-36,-19,5
4994,20926,-18946,-28,18,-29,2872,32379,-14006,28,-50,-15,10842,2728,-3014,-21,13,15,23492,11944,-2770,-27,-25,9
4760,21166,-18892,-16,14,-24,2698,32480,-13920,29,-48,-14,10834,2782,-3096,-26,18,16,23522,12064,-2718,-29,-34,13
4818,20946,-18970,-80,-25,-17,2712,32528,-14004,36,-58,-8,10802,2776,-3066,-39,27,13,23522,12102,-2558,-42,-32,7
4984,20916,-18894,-66,-40,-7,2712,32342,-14004,4,-50,-6,10742,2592,-3122,-48,31,11,23388,11836,-2594,-62,-42,0
4944,20882,-18966,-81,-46,-2,2594,32507,-13944,-1,-51,-3,10698,2678,-3070,-38,30,10,23488,11798,-2518,-52,-49,-1
5284,20424,-19046,-58,-12,3,2682,32392,-13928,7,-60,5,10754,2566,-3032,-39,26,8,23452,11760,-2620,-49,-41,-8
5048,20738,-18828,-16,29,-1,2786,32678,-13998,27,-62,10,10758,2538,-3172,-27,26,12,23480,11790,-2736,-36,-52,-9
4956,20746,-18786,-45,18,0,2858,32312,-14090,25,-66,12,10660,2612,-3128,-22,25,11,23580,11988,-2742,-33,-72,-8
4994,20510,-18928,-46,13,8,2830,32452,-14116,36,-46,8,10658,2712,-3072,-22,23,9,23596,11988,-2594,-49,-63,-11
4874,20638,-18842,-41,10,13,2644,32431,-14110,30,-40,5,10844,2648,-3016,-36,22,6,23530,11766,-2684,-66,-56,-18
4988,20462,-18948,-62,10,15,2650,32427,-14056,24,-56,1,10880,2616,-3088,-38,33,0,23538,11660,-2716,-62,-63,-22
4834,20380,-18948,-54,26,11,2754,32365,-13992,24,-55,-1,10814,2602,-3158,-35,38,-4,23658,11702,-2686,-37,-77,-27
4868,20308,-18788,-63,31,15,2720,32500,-13946,4,-50,-3,10698,2660,-3148,-33,37,-5,23708,11818,-2680,-35,-73,-33
5058,20270,-18798,-50,54,19,2708,32545,-13878,13,-52,-6,10668,2600,-3250,-31,31,-4,23644,11902,-2776,-32,-64,-36
4914,20126,-18856,-28,15,18,2700,32659,-13990,21,-59,-4,10688,2626,-3126,-19,22,-1,23596,11880,-2708,-43,-58,-44
4530,20562,-18988,-13,-5,10,2722,32618,-14052,34,-54,-5,10712,2666,-3086,-18,22,-4,23652,11646,-2784,-52,-65,-53
4568,20364,-18898,-74,0,-3,2662,32692,-14088,25,-45,-11,10802,2710,-3090,-18,28,-5,23734,11586,-2694,-30,-63,-47
4542,20280,-18910,-56,17,-12,2562,32530,-14040,12,-53,-19,10790,2726,-2912,-29,31,-6,23662,11740,-2638,-26,-30,-45
4880,19962,-18874,-78,0,-17,2668,32712,-14002,32,-48,-18,10840,2758,-3058,-41,33,-2,23602,11674,-2684,-32,-17,-45
4804,20178,-18864,4,34,-20,2552,32401,-13894,34,-49,-14,10818,2576,-3172,-45,37,4,23504,11756,-2718,-15,-42,-43
4596,20354,-18802,-22,28,-12,2528,32559,-13892,14,-65,-15,10742,2674,-3198,-35,32,9,23612,11612,-2698,-22,-43,-46
4700,20490,-18882,4,13,-8,2700,32712,-13948,20,-63,-14,10776,2652,-3154,-31,20,9,23584,11688,-2672,-10,-34,-47
4790,20952,-18886,-9,3,-8,2748,32483,-14102,35,-61,-14,10826,2732,-3240,-33,31,13,23542,11770,-2668,-10,-35,-49
4518,20284,-18964,-36,20,-7,2650,32454,-13984,32,-61,-16,10692,2706,-3128,-40,29,18,23516,11726,-2638,-19,-41,-52
4922,20290,-19004,-3,21,-12,2524,32441,-13902,15,-61,-17,10806,2584,-3114,-41,23,18,23570,11610,-2624,-22,-45,-52
4558,20760,-18914,6,15,-18,2668,32441,-14010,23,-71,-16,10770,2538,-3134,-42,36,8,23736,11612,-2786,-11,-43,-50
4664,20426,-18870,-20,8,-20,2760,32317,-14008,23,-64,-9,10742,2504,-3052,-37,35,4,23606,11612,-2728,-1,-32,-44
4698,20782,-18854,15,5,-13,2512,32373,-13788,-8,-50,-5,10740,2444,-3124,-33,28,5,23488,11772,-2634,2,-47,-44
4616,20434,-18948,-31,-14,1,2810,32457,-13962,10,-80,-6,10688,2456,-3124,-18,19,8,23672,11762,-2600,-9,-63,-48
4832,20456,-18958,15,15,-5,2862,32580,-13926,7,-56,-6,10720,2606,-3188,-19,18,9,23820,11700,-2718,-12,-55,-49
4604,20616,-18982,-1,15,2,2550,32702,-13776,6,-56,-8,10708,2646,-3132,-23,23,9,23710,11706,-2554,-10,-35,-48
4740,20456,-18966,-15,-5,-4,2568,32743,-13916,31,-74,-5,10628,2592,-3136,-26,25,6,23550,11668,-2538,-14,-33,-50
4822,20166,-18854,-11,0,-19,2734,32618,-14016,23,-71,-11,10668,2550,-3032,-29,14,2,23480,11588,-2598,-14,-56,-48
4876,20278,-18872,8,17,-40,2740,32542,-14058,17,-54,-18,10830,2512,-3098,-27,18,-2,23668,11622,-2674,-3,-74,-43
4646,20516,-18884,14,20,-39,2608,32577,-13932,-4,-43,-27,10824,2488,-3144,-23,31,-8,23754,11704,-2564,-5,-62,-31
4676,20642,-18888,-19,10,-19,2592,32584,-13988,-10,-52,-29,10784,2492,-3148,-21,37,-15,23742,11898,-2610,-4,-53,-15
4532,20272,-18840,-28,0,-14,2706,32429,-13850,-10,-58,-29,10570,2592,-3194,-14,32,-14,23816,11888,-2662,-12,-56,-8
4662,20632,-18850,-24,-13,-6,2728,32532,-13856,-13,-55,-21,10698,2602,-3084,-13,8,-8,23870,11868,-2542,-18,-66,-5
4734,20312,-18928,-57,-11,-16,2924,32386,-14108,10,-59,-28,10824,2650,-3164,-9,1,-1,23918,11868,-2656,-20,-53,-1
4952,20136,-18884,31,23,-14,2418,32383,-13792,-2,-22,-37,10892,2766,-3256,-13,16,4,23794,11820,-2606,-18,-37,1
4576,20892,-18928,17,33,-21,1968,32742,-13450,12,-69,-14,10890,2724,-3308,-30,22,3,23688,11840,-2608,-5,-36,6
