A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-10760,852,11924,-1367,-5694,-1754,-17216,6072,-2584,2375,-135,-8148,-14224,8080,1124,962,-30,-7098,-15116,-4156,-2368,-1126,840,927,-14196,-6296,-508,-593,467,1396,-13564,-468,7632,-493,699,233
-9112,1744,6496,4831,1100,1440,-17912,6664,-2188,369,-940,-6424,-14612,8288,1096,884,-665,-4633,-15992,-2968,-2496,221,1317,1484,-14612,-6492,-588,-723,155,1266,-13872,-376,7344,-379,761,110
-18500,2800,13576,6093,9632,3392,-17284,10428,-4000,-1767,-644,-3213,-14448,6892,2304,721,-333,-1961,-16100,-3140,-2240,44,818,1590,-14932,-5788,-1124,-1137,708,1098,-14380,-400,7516,100,565,11
-4232,3392,12872,3422,-3571,3510,-16732,612,-1324,-1010,-314,-412,-14472,8052,1744,-36,-375,403,-16564,-3040,-2356,588,590,1560,-15468,-5516,-924,-83,858,1002,-14568,-236,7588,-22,189,41
-1484,-864,16124,694,-1397,1517,-15428,-3524,-36,-1005,-656,-1902,-14212,6492,2904,-374,-267,-633,-16144,-1080,-1468,2043,163,1786,-15020,-5156,-228,436,263,1012,-14100,-284,7356,-218,161,1
-7032,1244,15644,-299,374,-352,-16412,616,-1460,871,-357,-1800,-15072,4936,2884,735,-767,-1730,-15504,-2376,-876,-3,396,1340,-15036,-4328,180,-746,111,1078,-13864,-192,7400,-223,193,246
-6956,1540,14884,279,-1217,101,-16988,972,-1780,670,-1,-741,-15188,5900,2652,922,-349,-807,-16088,-3824,-1108,-1664,265,832,-15284,-4924,-316,-1743,-54,807,-14148,-8,7312,-215,-18,507
-5632,560,14904,-683,-1307,-401,-15896,-304,-948,616,-96,-543,-14464,6460,2708,368,-123,-522,-16012,-2512,-1840,-259,5,503,-14988,-5492,-640,-1774,-865,390,-13960,204,7564,-283,-240,648
-8032,1028,15736,-709,-2139,-912,-16496,1980,-1540,764,270,-164,-14880,5704,2336,82,55,-152,-15868,-2932,-2040,-345,-268,325,-14844,-5200,-1200,-1650,-964,63,-13812,-92,7520,-531,-9,506
-10032,-784,16412,-4182,-3215,-4252,-16720,3164,-1456,-470,147,1293,-14864,5672,2416,-843,166,1108,-15768,-3364,-1756,-1070,-516,-332,-14632,-5408,-1028,-2061,-871,-381,-13720,-124,7596,-409,167,320
-7888,292,14876,-3491,-6961,-6273,-16864,1544,-1280,-283,241,2816,-14940,6396,2676,-655,24,2279,-15968,-3036,-1916,-925,-519,-397,-15088,-5868,-264,-2075,-1040,-747,-14252,-188,7300,-583,146,283
-6668,204,11456,-4866,-3674,-6253,-17024,2616,-2592,218,572,4026,-15100,6316,2260,-69,242,3537,-16268,-3340,-1372,-732,-430,-446,-15068,-6000,-228,-2169,-1302,-942,-14248,-448,7316,-604,-201,98
-10120,60,11756,-2903,245,-4841,-17136,5808,-3752,31,1147,6427,-14920,6392,1360,849,714,5796,-15824,-4332,-2192,-780,25,-659,-14812,-6456,-684,-1803,-1142,-1263,-14040,-412,7768,-333,-160,-258
-12804,3852,12484,-174,4429,607,-18532,9100,-3892,-2023,1379,9694,-14640,7716,1084,333,1065,9102,-15960,-4584,-3268,-613,616,-1185,-14604,-6360,-1284,-905,-891,-1965,-13692,-412,7764,-436,-132,-416
-12812,-256,13476,2298,8750,5932,-19844,8968,-3224,-5293,1008,12825,-15056,10068,984,-1177,1356,12612,-15928,-3012,-2304,55,-329,-1221,-14328,-5684,-708,-515,-777,-2447,-13548,-424,7652,-287,-31,-437
-14252,-192,13276,1379,13883,6523,-19652,9876,-4216,-7030,983,15433,-13724,9408,1672,-1685,1664,15453,-15872,-1768,-1156,-1394,-140,421,-14452,-5492,-656,-1184,-878,-2226,-13552,-892,7376,-261,329,-498
-15028,-2048,10708,2384,21573,6323,-20196,9224,-3924,-6690,1496,19116,-13368,9396,1284,222,1350,16997,-14984,-1632,-1976,-2802,548,676,-14524,-5580,148,-1180,-1151,-2178,-13876,-812,7512,132,187,-504
-18092,-692,15500,13,27344,5015,-20304,10092,-4012,-5420,1641,21800,-12052,12036,1012,1402,894,18377,-15816,-1652,-2760,-2289,747,1641,-14528,-5464,-164,-2050,-1390,-1899,-13704,-540,7516,137,184,-450
-20124,-4400,18868,-290,26798,3772,-20020,10576,-4376,-4700,2048,23685,-10752,12540,1548,1401,122,18302,-16184,-972,-2076,-2410,743,2728,-14824,-5672,-392,-1569,-1099,-1660,-14124,-288,7680,132,262,-264
-18032,-1052,14732,518,28322,3597,-19820,9408,-4596,-2647,3057,25273,-10160,13432,788,2877,257,16949,-16172,-1296,-2968,-1991,861,3566,-14960,-5104,-472,-1631,-1079,-1287,-14128,-172,7752,-77,233,74
-16836,-1940,11900,1912,30786,3775,-18132,10320,-3480,-1161,3515,25542,-8480,14012,416,4037,163,15495,-16052,-372,-2444,-698,848,4922,-14712,-5284,-224,-1549,-1032,-728,-14100,-312,7780,-218,125,198
-15840,40,4560,5655,32767,5598,-16352,9268,-3260,-1236,4222,24779,-8268,14032,700,4535,746,14774,-16044,228,-2772,-706,420,5233,-14816,-5892,-132,-1096,-726,-548,-14284,-352,7536,-557,159,266
-21276,-724,6432,5901,32767,5120,-14240,10892,-2596,-1094,4430,24209,-6744,13820,660,5551,1145,15615,-15176,544,-2360,-408,159,4790,-13920,-5908,-48,-1052,-536,-306,-13656,-476,7340,-522,203,54
