ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20138,6426,-67,-33,-18,24930,4328,5214,8,22,1
32767,19946,6450,-44,-58,-6,24902,4664,5176,4,22,3
32767,19900,6066,1,-75,8,24918,4508,5276,-39,17,12
32767,20158,5948,19,-64,3,24984,4286,5300,-41,19,11
32767,20294,5812,-23,-30,-7,25058,4214,5294,-25,24,9
32767,20102,6182,-84,-10,-22,24884,4354,5206,-5,29,9
32767,19802,6562,-67,-29,-19,24798,4498,5202,-14,19,9
32767,19750,6488,-13,-66,-8,24926,4590,5226,-33,15,7
32767,20032,6248,39,-90,-4,25036,4476,5240,-53,16,7
32767,20350,5964,21,-77,-5,25048,4292,5238,-60,23,4
32767,20298,5750,-23,-40,-1,24924,4152,5336,-30,23,8
32767,20150,5942,-64,-14,-8,24922,4302,5260,-10,16,1
32767,19974,6454,-60,-23,-11,25010,4424,5296,-10,11,2
32767,19972,6334,-42,-47,-6,25080,4368,5208,-13,15,16
32767,20084,6170,-31,-60,-10,25014,4294,5140,-13,28,19
32767,20052,5952,-22,-55,-7,24982,4430,5320,-14,30,5
32767,20118,6050,-25,-46,-8,24946,4458,5258,-18,36,11
32767,20028,6216,-30,-41,-10,24876,4372,5252,-18,26,24
32767,20098,6328,-19,-50,-10,24966,4508,5148,-6,19,5
32767,20160,6198,-23,-58,0,25050,4702,5222,-21,15,-1
32767,20028,5832,-35,-44,1,25002,4572,5224,-46,21,5
32767,19948,5882,-30,-23,2,24924,4360,5232,-64,20,8
32767,19968,6154,-33,-8,-6,24990,4264,5336,-55,18,6
32767,20042,6316,-35,-20,-10,24946,4284,5198,-40,20,6
32767,20092,6442,-53,-50,-14,24938,4392,5248,-37,22,7
32767,19880,6348,-49,-80,-11,25016,4458,5274,-46,24,5
32767,19792,6014,-12,-87,-5,24994,4254,5248,-50,29,12
32767,19988,5736,30,-61,0,25004,4102,5266,-34,28,12
32767,20330,5848,7,-8,-20,24878,4238,5254,-12,23,8
32767,20348,6290,-58,1,-28,24932,4388,5240,3,16,5
32767,20128,6544,-70,-26,-18,25016,4490,5200,-2,11,7
32767,19912,6512,-38,-64,0,25030,4530,5216,-16,14,4
32767,19964,6180,12,-87,11,25006,4438,5262,-32,21,5
32767,20162,5918,9,-75,4,24976,4282,5284,-35,24,12
32767,20202,5910,-31,-49,-14,24934,4238,5282,-19,25,13
32767,20078,6198,-48,-38,-10,24904,4480,5292,-7,17,7
32767,20120,6222,-31,-54,-3,24990,4632,5200,-20,14,5
32767,20044,6058,-20,-54,4,25058,4560,5232,-47,16,7
32767,19948,5938,-12,-41,8,25072,4388,5270,-60,18,6
32767,19972,6228,-13,-31,0,24966,4194,5252,-52,26,8
32767,20136,6562,-39,-71,-18,24876,4252,5274,-32,28,10
32767,20120,6496,-70,-104,-18,24842,4346,5244,-26,23,8
32767,19940,5966,-57,-118,-11,24892,4376,5190,-27,15,12
32767,19856,5550,1,-85,4,25022,4298,5084,-24,12,9
32767,20080,5456,30,-30,6,25012,4208,5338,-21,13,3
32767,20216,5854,0,21,-5,24836,4214,5368,-10,13,10
32767,20376,6342,-54,29,-22,24794,4194,5234,6,2,20
32767,20150,6728,-76,-10,-22,24918,4438,5210,19,-4,6
32767,19842,6702,-19,-102,17,25094,4716,5148,4,1,1
32767,20062,6132,22,-138,9,25152,4608,5184,-33,14,7
32767,20232,5560,2,-113,-1,25122,4304,5276,-47,28,15
32767,20106,5390,-24,-45,-3,24944,4042,5338,-25,32,16
32767,20002,5732,-36,20,-20,24868,4176,5262,14,20,19
32767,19970,6384,-14,38,-22,24946,4582,5336,25,10,9
32767,20240,6800,0,2,-8,24922,4738,5190,6,14,10
32767,20330,6756,-19,-64,-4,24954,4730,5096,-26,7,12
32767,20208,6112,-46,-118,8,25038,4562,5224,-47,6,1
32767,19946,5616,-38,-94,14,25164,4390,5196,-54,11,0
32767,19890,5546,-17,-41,5,25184,4162,5348,-43,21,9
32767,20194,5882,-38,8,-19,25116,4114,5392,-3,27,18
32767,20256,6218,-93,27,-34,24946,4292,5206,25,28,21
32767,20034,6384,-113,8,-36,24908,4622,5178,29,14,16
32767,19792,6460,-51,-34,-20,24908,4922,5086,6,11,9
32767,20014,6234,38,-73,3,25122,4820,5280,-44,12,8
32767,20584,5988,32,-85,4,25200,4442,5264,-67,25,12
32767,20648,5828,-51,-56,-5,25130,4160,5242,-55,36,12
32767,20310,5764,-111,-16,-5,25096,4246,5228,-22,39,6
32767,19850,6096,-111,6,9,24886,4702,5202,-9,43,2
32767,19586,6252,-63,-4,16,24840,4838,5294,-40,39,4
32767,19608,6578,-42,-43,12,24766,4684,5208,-76,33,9
32767,19648,6506,-43,-81,-14,24846,4452,5256,-95,25,10
32767,19628,6042,-39,-90,-31,24950,4266,5102,-91,21,8
32767,19806,5638,15,-49,-26,25098,4256,5214,-83,21,5
32767,20120,5840,35,-9,-29,25166,4046,5252,-65,25,13
32767,20626,6150,-2,6,-39,25116,3958,5298,-37,27,11
32767,20420,6444,-70,-14,-27,24926,3998,5238,5,23,5
32767,20074,6368,-59,-51,-9,24972,4300,5088,33,2,3
32767,20022,6078,-3,-70,7,25108,4582,5124,35,3,1
32767,20318,5822,7,-56,12,25132,4634,5228,7,13,4
32767,20338,5892,-77,-7,-16,25060,4440,5304,1,27,24
32767,20014,6118,-104,15,-20,24966,4300,5276,12,30,25
32767,19868,6460,-69,7,-7,25124,4564,5256,34,31,11
32767,19916,6672,-28,-30,3,25082,4934,5262,13,41,9
32767,19916,6578,-16,-69,7,25060,4952,5210,-37,50,15
32767,19766,6350,-4,-98,12,24992,4542,5158,-78,46,17
32767,19766,6018,0,-109,-6,25008,4298,5266,-75,42,8
32767,19764,5958,15,-95,-17,24928,4424,5272,-59,34,3
32767,20214,6066,33,-68,-7,24862,4344,5366,-59,15,8
32767,20362,6016,5,-48,-5,24940,4236,5182,-49,-3,11
32767,20270,6044,-20,-36,3,25050,4242,5252,-30,-10,2
32767,20296,6016,-24,-34,5,25110,4276,5156,-15,-8,-1
